row_index,source,year,dat_score,between_unit_posaware,uniqueness_human_agnostic,in_reference_pool
0,olson_pnas2021,2022,83.030685,82.571199,,1
1,olson_pnas2021,2022,80.903122,78.391485,,1
2,olson_pnas2021,2022,68.284599,76.899896,78.471882,0
3,olson_pnas2021,2022,73.696213,77.301073,,1
4,olson_pnas2021,2022,75.083206,79.112457,78.830415,0
5,olson_pnas2021,2022,78.344742,76.987774,77.625156,0
6,olson_pnas2021,2022,78.988998,79.822560,79.545103,0
7,olson_pnas2021,2022,78.967384,77.633349,79.413453,0
8,olson_pnas2021,2022,75.998947,81.961425,82.386201,0
9,olson_pnas2021,2022,86.238068,81.652724,,1
10,olson_pnas2021,2022,83.758232,82.980858,,1
11,olson_pnas2021,2022,67.228439,77.854887,,1
12,olson_pnas2021,2022,84.367592,80.616042,,1
13,olson_pnas2021,2022,79.477463,80.103547,80.319837,0
14,olson_pnas2021,2022,69.728104,75.150045,76.086143,0
15,olson_pnas2021,2022,83.777710,80.183892,81.136689,0
16,olson_pnas2021,2022,88.254845,85.353138,,1
17,olson_pnas2021,2022,79.728958,82.527175,82.398284,0
18,olson_pnas2021,2022,81.018349,80.433078,81.913198,0
19,olson_pnas2021,2022,86.789062,81.846332,,1
20,olson_pnas2021,2022,69.791382,76.339311,77.607136,0
21,olson_pnas2021,2022,81.275574,79.399655,,1
22,olson_pnas2021,2022,85.616562,81.888513,83.052492,0
23,olson_pnas2021,2022,71.918266,77.315444,,1
24,olson_pnas2021,2022,70.520561,74.883808,76.101446,0
25,olson_pnas2021,2022,71.392715,78.308251,,1
26,olson_pnas2021,2022,76.379875,78.381168,,1
27,olson_pnas2021,2022,76.334732,77.997645,78.309134,0
28,olson_pnas2021,2022,79.944054,79.167225,,1
29,olson_pnas2021,2022,86.415031,,,0
30,olson_pnas2021,2022,84.180016,80.759651,81.768628,0
31,olson_pnas2021,2022,78.338066,79.970488,80.789936,0
32,olson_pnas2021,2022,75.980789,77.788559,78.471431,0
33,olson_pnas2021,2022,82.318069,82.225181,,1
34,olson_pnas2021,2022,74.284622,78.799706,,1
35,olson_pnas2021,2022,76.106522,79.245048,78.803242,0
36,olson_pnas2021,2022,89.723030,85.284153,86.130339,0
37,olson_pnas2021,2022,79.078117,79.841061,80.839127,0
38,olson_pnas2021,2022,86.110291,81.078487,81.808026,0
39,olson_pnas2021,2022,81.593674,82.724273,,1
40,olson_pnas2021,2022,84.569641,84.173412,,1
41,olson_pnas2021,2022,86.084076,88.012515,,1
42,olson_pnas2021,2022,76.493851,77.675846,78.691312,0
43,olson_pnas2021,2022,78.570160,81.093576,,1
44,olson_pnas2021,2022,86.445564,83.332241,,1
45,olson_pnas2021,2022,82.800552,80.975435,,1
46,olson_pnas2021,2022,74.026138,77.756233,77.314915,0
47,olson_pnas2021,2022,81.814590,81.257555,,1
48,olson_pnas2021,2022,73.588608,80.726823,,1
49,olson_pnas2021,2022,80.172852,82.850797,83.546369,0
50,olson_pnas2021,2022,82.380020,80.603965,,1
51,olson_pnas2021,2022,79.492462,78.786416,79.205454,0
52,olson_pnas2021,2022,73.671898,81.200231,80.869446,0
53,olson_pnas2021,2022,70.459267,76.418823,76.667613,0
54,olson_pnas2021,2022,84.922218,81.321625,82.321869,0
55,olson_pnas2021,2022,77.528503,79.176463,78.782922,0
56,olson_pnas2021,2022,84.191895,84.512564,85.149456,0
57,olson_pnas2021,2022,77.355110,78.792129,,1
58,olson_pnas2021,2022,81.233368,82.806691,,1
59,olson_pnas2021,2022,79.548195,80.755171,81.878618,0
60,olson_pnas2021,2022,72.361977,75.965237,77.029485,0
61,olson_pnas2021,2022,78.235382,79.113087,78.901493,0
62,olson_pnas2021,2022,75.486557,78.072460,78.122137,0
63,olson_pnas2021,2022,79.691574,79.266340,79.424478,0
64,olson_pnas2021,2022,88.215080,84.265407,,1
65,olson_pnas2021,2022,90.300858,83.047391,,1
66,olson_pnas2021,2022,80.528732,85.561669,86.707062,0
67,olson_pnas2021,2022,79.516739,79.213200,79.598544,0
68,olson_pnas2021,2022,80.972191,79.626087,80.365978,0
69,olson_pnas2021,2022,85.070839,84.116361,,1
70,olson_pnas2021,2022,72.920052,77.870538,,1
71,olson_pnas2021,2022,82.814552,82.405676,81.921392,0
72,olson_pnas2021,2022,79.985344,81.665413,81.331043,0
73,olson_pnas2021,2022,79.684898,81.271393,80.690612,0
74,olson_pnas2021,2022,88.459435,90.204984,,1
75,olson_pnas2021,2022,77.641335,78.633254,79.231907,0
76,olson_pnas2021,2022,81.392342,79.799969,,1
77,olson_pnas2021,2022,81.488472,79.618665,79.255130,0
78,olson_pnas2021,2022,85.325798,80.110554,80.703138,0
79,olson_pnas2021,2022,89.807007,86.311849,86.155070,0
80,olson_pnas2021,2022,82.705498,80.324656,,1
81,olson_pnas2021,2022,77.189293,78.874996,78.986359,0
82,olson_pnas2021,2022,78.614632,79.182969,,1
83,olson_pnas2021,2022,87.695923,82.324079,,1
84,olson_pnas2021,2022,77.400368,80.301903,,1
85,olson_pnas2021,2022,85.412857,81.065535,81.236764,0
86,olson_pnas2021,2022,87.820244,83.362257,83.811588,0
87,olson_pnas2021,2022,77.279190,77.992921,,1
88,olson_pnas2021,2022,80.331024,80.063887,80.116723,0
89,olson_pnas2021,2022,78.220970,78.662503,78.945785,0
90,olson_pnas2021,2022,79.160469,79.786403,79.478175,0
91,olson_pnas2021,2022,62.775452,75.362242,,1
92,olson_pnas2021,2022,74.585686,79.904825,79.824039,0
93,olson_pnas2021,2022,71.127113,80.043178,,1
94,olson_pnas2021,2022,83.924454,80.829738,,1
95,olson_pnas2021,2022,78.936523,78.187837,,1
96,olson_pnas2021,2022,83.794556,82.023664,,1
97,olson_pnas2021,2022,71.981415,78.873911,,1
98,olson_pnas2021,2022,76.099548,78.448158,,1
99,olson_pnas2021,2022,78.376991,77.185094,78.813528,0
100,olson_pnas2021,2022,74.476936,78.123249,78.241614,0
101,olson_pnas2021,2022,88.059059,84.670849,,1
102,olson_pnas2021,2022,82.345131,81.679776,,1
103,olson_pnas2021,2022,83.667404,81.423996,82.872931,0
104,olson_pnas2021,2022,72.902908,77.190092,,1
105,olson_pnas2021,2022,86.129288,83.028311,,1
106,olson_pnas2021,2022,74.482925,75.814619,,1
107,olson_pnas2021,2022,71.585396,76.421211,,1
108,olson_pnas2021,2022,90.762558,88.018455,,1
109,olson_pnas2021,2022,77.118149,78.540538,,1
110,olson_pnas2021,2022,72.921738,76.677311,77.268920,0
111,olson_pnas2021,2022,85.361496,86.444650,86.558063,0
112,olson_pnas2021,2022,85.426453,79.861668,81.331448,0
113,olson_pnas2021,2022,78.251984,79.248971,79.581615,0
114,olson_pnas2021,2022,87.485001,82.253942,,1
115,olson_pnas2021,2022,81.614426,81.150752,,1
116,olson_pnas2021,2022,72.141174,75.642689,76.561635,0
117,olson_pnas2021,2022,84.234253,79.418359,,1
118,olson_pnas2021,2022,86.313217,82.406981,,1
119,olson_pnas2021,2022,85.892815,83.927718,84.132816,0
120,olson_pnas2021,2022,85.473442,,,0
121,olson_pnas2021,2022,74.107758,76.369715,,1
122,olson_pnas2021,2022,74.658859,77.449853,,1
123,olson_pnas2021,2022,81.205124,79.078372,80.134001,0
124,olson_pnas2021,2022,87.080605,84.617038,84.450635,0
125,olson_pnas2021,2022,74.943306,77.446759,78.276615,0
126,olson_pnas2021,2022,87.339317,82.338340,,1
127,olson_pnas2021,2022,72.975189,79.789641,79.397801,0
128,olson_pnas2021,2022,87.076065,85.878078,,1
129,olson_pnas2021,2022,51.018097,75.440463,76.571889,0
130,olson_pnas2021,2022,89.913956,86.866362,87.881048,0
131,olson_pnas2021,2022,74.720505,78.857568,,1
132,olson_pnas2021,2022,76.947510,78.850293,,1
133,olson_pnas2021,2022,75.004425,80.387530,81.751937,0
134,olson_pnas2021,2022,78.434990,79.563148,,1
135,olson_pnas2021,2022,79.267975,78.063705,,1
136,olson_pnas2021,2022,88.541031,83.558985,82.885727,0
137,olson_pnas2021,2022,71.254036,76.950394,,1
138,olson_pnas2021,2022,76.381645,79.530084,,1
139,olson_pnas2021,2022,82.359283,79.453582,,1
140,olson_pnas2021,2022,75.161591,79.365598,79.039864,0
141,olson_pnas2021,2022,82.641876,81.256531,,1
