model_name,provider,intelligence,dat_score,between_unit_posaware,uniqueness_human_agnostic,uniqueness_fixed_pool_legacy
GPT-3.5-Turbo,openai,all-rounder,81.452179,76.420339,79.404343,79.466040
GPT-3.5-Turbo,openai,all-rounder,74.513596,75.166920,78.365596,78.348282
GPT-3.5-Turbo,openai,all-rounder,80.932442,76.990693,79.097022,79.157736
GPT-3.5-Turbo,openai,all-rounder,75.059494,75.452509,77.094729,77.353182
GPT-3.5-Turbo,openai,all-rounder,76.547966,74.812447,78.626859,78.658801
GPT-3.5-Turbo,openai,all-rounder,79.301628,74.739333,78.365269,78.476083
GPT-3.5-Turbo,openai,all-rounder,78.907516,77.014585,79.638284,79.882038
GPT-3.5-Turbo,openai,all-rounder,78.687927,76.025464,78.525124,78.390110
GPT-3.5-Turbo,openai,all-rounder,75.515297,74.987906,78.505573,78.549037
GPT-3.5-Turbo,openai,all-rounder,81.127602,77.511698,80.598680,80.604903
GPT-3.5-Turbo,openai,all-rounder,74.053040,74.210077,77.556049,77.605641
GPT-3.5-Turbo,openai,all-rounder,76.076202,74.554185,79.126211,78.996325
GPT-3.5-Turbo,openai,all-rounder,81.009377,77.551839,79.783790,79.934471
GPT-3.5-Turbo,openai,all-rounder,76.194626,76.073722,78.139054,78.318896
GPT-3.5-Turbo,openai,all-rounder,73.208954,73.754519,77.919406,77.966397
GPT-3.5-Turbo,openai,all-rounder,76.401505,75.429132,78.804073,78.792691
GPT-3.5-Turbo,openai,all-rounder,76.932770,77.017030,79.485326,79.635398
GPT-3.5-Turbo,openai,all-rounder,76.439217,74.824483,78.195879,78.028809
GPT-3.5-Turbo,openai,all-rounder,75.886772,74.595179,77.342615,77.534529
GPT-3.5-Turbo,openai,all-rounder,73.881828,73.706237,77.075869,77.030029
GPT-3.5-Turbo,openai,all-rounder,76.970467,76.447372,78.380243,78.469517
GPT-3.5-Turbo,openai,all-rounder,75.969406,75.018591,78.316173,78.601539
GPT-3.5-Turbo,openai,all-rounder,74.915726,74.703668,78.428033,78.286299
GPT-3.5-Turbo,openai,all-rounder,75.873444,75.583856,77.594757,77.406686
GPT-3.5-Turbo,openai,all-rounder,77.788994,76.959471,79.356170,79.319430
GPT-3.5-Turbo,openai,all-rounder,74.410980,75.788930,77.879860,77.772879
GPT-3.5-Turbo,openai,all-rounder,74.941780,75.449661,77.823622,77.758000
GPT-3.5-Turbo,openai,all-rounder,76.942970,75.842961,77.377178,77.431162
GPT-3.5-Turbo,openai,all-rounder,71.171982,74.480624,76.168230,76.357815
GPT-3.5-Turbo,openai,all-rounder,74.023460,75.391368,77.960850,77.966023
GPT-3.5-Turbo,openai,all-rounder,80.019539,76.110109,79.026019,78.964258
GPT-3.5-Turbo,openai,all-rounder,80.609856,77.802909,79.383707,79.534827
GPT-3.5-Turbo,openai,all-rounder,78.982544,74.853282,78.593969,78.696832
GPT-3.5-Turbo,openai,all-rounder,72.456108,74.099415,77.527154,77.780400
GPT-3.5-Turbo,openai,all-rounder,73.041000,75.252452,77.303016,77.364533
GPT-3.5-Turbo,openai,all-rounder,78.077766,75.796494,78.704725,78.619943
GPT-3.5-Turbo,openai,all-rounder,78.004906,75.683416,78.137629,78.180563
GPT-3.5-Turbo,openai,all-rounder,75.016006,76.669514,77.539773,77.866856
GPT-3.5-Turbo,openai,all-rounder,76.377777,76.375219,79.136320,79.277442
GPT-3.5-Turbo,openai,all-rounder,76.794525,76.699234,78.342923,78.854434
GPT-3.5-Turbo,openai,all-rounder,74.315529,74.577910,77.822488,77.933887
GPT-3.5-Turbo,openai,all-rounder,74.634048,75.705593,77.388925,77.231519
GPT-3.5-Turbo,openai,all-rounder,74.514412,75.031448,78.036800,77.946943
GPT-3.5-Turbo,openai,all-rounder,72.111969,74.370030,76.949725,77.048638
GPT-3.5-Turbo,openai,all-rounder,75.369102,76.377949,78.862826,79.142084
GPT-3.5-Turbo,openai,all-rounder,79.465691,76.013181,78.969063,79.051358
GPT-3.5-Turbo,openai,all-rounder,75.155998,75.375435,78.049161,78.122131
GPT-3.5-Turbo,openai,all-rounder,76.057465,74.829755,77.424646,77.773194
GPT-3.5-Turbo,openai,all-rounder,79.889145,76.507588,79.373378,79.450033
GPT-3.5-Turbo,openai,all-rounder,78.488815,76.403341,79.347002,79.422368
GPT-3.5-Turbo,openai,all-rounder,75.552704,75.511983,78.097769,77.982140
GPT-3.5-Turbo,openai,all-rounder,74.131241,74.015775,78.632684,78.159541
GPT-3.5-Turbo,openai,all-rounder,74.903763,75.874606,77.867022,77.975286
GPT-3.5-Turbo,openai,all-rounder,80.883438,77.752095,79.168119,79.438071
GPT-3.5-Turbo,openai,all-rounder,74.844650,74.389661,77.773279,77.857846
GPT-3.5-Turbo,openai,all-rounder,73.178131,74.760732,77.998089,78.043049
GPT-3.5-Turbo,openai,all-rounder,75.551941,74.855416,77.486735,77.648533
GPT-3.5-Turbo,openai,all-rounder,71.387840,74.404607,77.479478,77.097058
GPT-3.5-Turbo,openai,all-rounder,79.523689,75.565697,78.907087,78.889330
GPT-3.5-Turbo,openai,all-rounder,80.763260,77.304088,79.508988,79.530998
