index,model_name,temperature,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,intelligence,dat_new,dat_old,prompt_big_category,prompt_sub_category
02b0235209d210e81d665e872d2d4861.pickle,GPT-5,0.5,hammer,ocean,justice,music,butterfly,thunder,mirror,cactus,bread,shadow,LLMs,51.79200722,77.92738529,Baseline prompt,Baseline prompt
0e54e78e6920f4db772360e3dbf55daf.pickle,GPT-5,0.5,mountain,bicycle,friendship,thunder,pencil,ocean,justice,laughter,mirror,cactus,LLMs,55.055581,78.62846387,Baseline prompt,Baseline prompt
9f0399fa81a4f838ab8987e6761cd399.pickle,GPT-5,0.5,cloud,hammer,bread,ocean,whisper,freedom,lantern,dust,tiger,justice,LLMs,56.62855828,80.26432561,Baseline prompt,Baseline prompt
d80449b8567fbd6759728d95ee560795.pickle,GPT-5,0.5,stone,spoon,bicycle,cloud,melody,justice,laughter,bread,ink,planet,LLMs,60.23065738,81.94620312,Baseline prompt,Baseline prompt
312e7cf7c76bca307db8316c334b73a3.pickle,GPT-5,0.5,ladder,mountain,thunder,courage,music,water,shadow,bridge,time,sand,LLMs,48.03937396,76.06777471,Baseline prompt,Baseline prompt
a0bfa443c22c08d3d4c4056c7186c28a.pickle,GPT-5,0.5,mountain,apple,justice,thunder,mirror,river,aroma,butterfly,melody,engine,LLMs,54.07996147,78.08933413,Baseline prompt,Baseline prompt
195043a58fc24604222963e641fbe180.pickle,GPT-5,0.5,mountain,butterfly,hammer,onion,thunder,justice,mirror,puzzle,ocean,dream,LLMs,55.67855651,79.81276126,Baseline prompt,Baseline prompt
b64edecaa1e6f4d49e1f514341b6b15d.pickle,GPT-5,0.5,apple,river,music,courage,hammer,cloud,shadow,window,sand,fox,LLMs,51.95225527,80.17165714,Baseline prompt,Baseline prompt
2b74524f0485669db7dbd7901aea3eb0.pickle,GPT-5,0.5,stone,river,thunder,candle,melody,justice,meadow,ladder,cloud,puzzle,LLMs,55.36988373,75.69236666,Baseline prompt,Baseline prompt
8e634bb94019c92520fcf219890e5cd1.pickle,GPT-5,0.5,hammer,cloud,melody,cactus,justice,pebble,lantern,butterfly,vinegar,galaxy,LLMs,62.07189002,83.69354876,Baseline prompt,Baseline prompt
0ad54893c34cc8587dabb7ca26c009d9.pickle,GPT-5,0.5,mountain,apple,hammer,river,music,courage,shadow,tiger,thunder,pillow,LLMs,50.74460899,78.14782273,Baseline prompt,Baseline prompt
9e2d664398b5085009f50d1123873dac.pickle,GPT-5,0.5,mountain,chair,cat,bread,music,freedom,hammer,planet,hand,laughter,LLMs,49.95830999,78.74663846,Baseline prompt,Baseline prompt
15b84f77b0461705af0f42b4e2c31514.pickle,GPT-5,0.5,elephant,cabbage,hammer,mountain,thunder,pillow,freedom,circle,music,elbow,LLMs,56.42217582,78.28063296,Baseline prompt,Baseline prompt
12ac5d612e6b920efa95bacfa9e0e320.pickle,GPT-5,0.5,stone,butterfly,hammer,melody,justice,cloud,bread,planet,whisper,rainbow,LLMs,56.0570199,79.64440839,Baseline prompt,Baseline prompt
c8a524035e28d713f89d28b638397746.pickle,GPT-5,0.5,galaxy,hammer,butterfly,thunder,justice,bread,elbow,ocean,melody,dust,LLMs,59.3816003,81.18205308,Baseline prompt,Baseline prompt
0277c70a820759c2c4fbe9ddc26a121b.pickle,GPT-5,0.5,hammer,cloud,melody,bread,planet,shadow,justice,tree,mirror,thunder,LLMs,53.81419271,78.2612714,Baseline prompt,Baseline prompt
640c206a376126fa7a175eff257ad106.pickle,GPT-5,0.5,mountain,spoon,freedom,cat,thunder,pillow,music,river,brick,sunrise,LLMs,51.97339203,78.10445911,Baseline prompt,Baseline prompt
8540260bf2e07af74b7605dace696232.pickle,GPT-5,0.5,chair,cloud,music,justice,dog,bread,hammer,leaf,memory,star,LLMs,52.93694386,80.69136797,Baseline prompt,Baseline prompt
f939d0a6b291184bc8fed3d6a719b996.pickle,GPT-5,0.5,spoon,mountain,justice,melody,thunder,cat,ocean,brick,dream,smoke,LLMs,54.12646099,77.478498,Baseline prompt,Baseline prompt
fc5d9d3a75e562fd2f9694788188bd8d.pickle,GPT-5,0.5,cat,elbow,hammer,bread,rainbow,justice,music,planet,bubble,dream,LLMs,54.88824013,80.32083847,Baseline prompt,Baseline prompt
acd4c0086a3eb6a19ff838e4a01e35c4.pickle,GPT-5,0.5,mountain,hammer,music,shadow,justice,bread,mirror,thunder,puzzle,horizon,LLMs,50.60822509,78.00770152,Baseline prompt,Baseline prompt
7e68754302ca1c238e3c56fc48531797.pickle,GPT-5,0.5,butterfly,hammer,bread,thunder,justice,melody,pillow,river,galaxy,forest,LLMs,58.3421209,79.08083127,Baseline prompt,Baseline prompt
b5ffe7b3b27a749b76ab94d3c5d30f50.pickle,GPT-5,0.5,hammer,thunder,apple,freedom,mirror,cloud,brick,dream,shadow,car,LLMs,50.01461436,77.86146708,Baseline prompt,Baseline prompt
a2ad56c0f94807034ab49bda184ea0a4.pickle,GPT-5,0.5,spoon,mountain,justice,thunder,cactus,melody,brick,shadow,elbow,rainbow,LLMs,58.96729686,80.42666506,Baseline prompt,Baseline prompt
598a48e8ab59d413351f8cf950c057ae.pickle,GPT-5,0.5,mountain,justice,spoon,thunder,melody,cactus,engine,bread,shadow,galaxy,LLMs,60.26484068,82.96473988,Baseline prompt,Baseline prompt
4ffa103bea76cbdbe30e83fbe3f5a42c.pickle,GPT-5,0.5,hammer,cloud,freedom,bread,tiger,music,shadow,chair,language,thunder,LLMs,51.31118338,80.19359758,Baseline prompt,Baseline prompt
f5a9f526b20f8b56c8d6c120b1470f32.pickle,GPT-5,0.5,apple,hammer,cloud,freedom,music,insect,mirror,river,shadow,laughter,LLMs,51.9847051,81.32128482,Baseline prompt,Baseline prompt
46c4fbbe49f58e7b1a601262dc66d4e1.pickle,GPT-5,0.5,hammer,tiger,rain,joy,oak,pillow,bicycle,bread,elbow,island,LLMs,54.09719921,76.88157618,Baseline prompt,Baseline prompt
e6a3d164464823380bf91b7b485364e7.pickle,GPT-5,0.5,mountain,spoon,freedom,turtle,thunder,bread,shadow,elbow,village,melody,LLMs,51.31207335,76.36261865,Baseline prompt,Baseline prompt
bab098b688c75d511af1ff82d5f5e311.pickle,GPT-5,0.5,cat,justice,umbrella,thunder,bread,planet,color,song,cloud,heart,LLMs,51.94822498,80.66539774,Baseline prompt,Baseline prompt
