model_name,batch,temperature,source_file,dat_score,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,81.45216,dog,chair,happiness,mountain,spoon,galaxy,book,laughter,bicycle,rainforest
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.513596,dog,book,happiness,chair,ocean,computer,love,mountain,car,tree
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,80.93244,dog,umbrella,happiness,mountain,book,pineapple,computer,chair,love,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.0595,chair,apple,happiness,ocean,hammer,dream,tree,book,car,mountain
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.54797,apple,chair,love,ocean,bicycle,book,happiness,tree,hammer,cloud
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,79.30163,apple,chair,happiness,mountain,book,clock,water,key,tree,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.90752,book,chair,happiness,banana,computer,friendship,mountain,umbrella,music,ocean
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,78.68793,tree,book,love,chair,cloud,hammer,banana,honesty,computer,freedom
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,75.5153,flower,chair,happiness,mountain,computer,book,love,chocolate,car,tree
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,81.1276,ocean,chair,happiness,guitar,pineapple,book,star,bicycle,freedom,mountain
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,74.05304,sun,chair,happiness,book,mountain,flower,coffee,umbrella,music,bicycle
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.07621,apple,chair,love,mountain,book,cloud,happiness,bicycle,beach,music
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,81.00938,flower,book,happiness,chair,mountain,telephone,cookie,music,sunshine,diamond
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.194626,chair,dog,happiness,ocean,book,umbrella,mountain,computer,laughter,tree
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,73.208954,apple,chair,love,ocean,book,sun,happiness,tree,music,butterfly
GPT-3.5-Turbo,old_2024,0.5,average_machine_raw.csv,76.40149,dog,chair,happiness,mountain,apple,book,freedom,umbrella,laughter,ocean
