index,model_name,temperature,start_time,end_time,response,prompt_task,task_number,prompt_name,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat,intelligence
0fa98c76a035a3d3cb77ff26d2584d4c.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:53:23,2024-17-06_10:53:26,"dog, chair, happiness, mountain, spoon, galaxy, book, laughter, bicycle, rainforest",baseline,1,baseline_prompt_1,dog,chair,happiness,mountain,spoon,galaxy,book,laughter,bicycle,rainforest,81.45216,LLMs
ae612c49973002de90e7ec8ab97b8026.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:51:22,2024-17-06_10:51:25,"dog, book, happiness, chair, ocean, computer, love, mountain, car, tree",baseline,1,baseline_prompt_1,dog,book,happiness,chair,ocean,computer,love,mountain,car,tree,74.513596,LLMs
97e04d2820bcf9663fcd780f1adeea52.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:49:03,2024-17-06_10:49:05,"dog, umbrella, happiness, mountain, book, pineapple, computer, chair, love, music",baseline,1,baseline_prompt_1,dog,umbrella,happiness,mountain,book,pineapple,computer,chair,love,music,80.93244,LLMs
20b471529c82e10fb20f7dbccd5fad1b.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:39:01,2024-18-06_20:39:04,"chair, apple, happiness, ocean, hammer, dream, tree, book, car, mountain",baseline,1,baseline_prompt_1,chair,apple,happiness,ocean,hammer,dream,tree,book,car,mountain,75.0595,LLMs
4c1575522fdd27db9ad643497cd0f4a1.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:41:19,2024-18-06_20:41:21,"apple, chair, love, ocean, bicycle, book, happiness, tree, hammer, cloud",baseline,1,baseline_prompt_1,apple,chair,love,ocean,bicycle,book,happiness,tree,hammer,cloud,76.54797,LLMs
302366e48ff57eb61f675360663d54b5.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:50:47,2024-17-06_10:50:49,"apple, chair, happiness, mountain, book, clock, water, key, tree, music",baseline,1,baseline_prompt_1,apple,chair,happiness,mountain,book,clock,water,key,tree,music,79.30163,LLMs
abf0bb74991b93c85fb8ac23c480064b.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:42:12,2024-18-06_20:42:15,"book, chair, happiness, banana, computer, friendship, mountain, umbrella, music, ocean",baseline,1,baseline_prompt_1,book,chair,happiness,banana,computer,friendship,mountain,umbrella,music,ocean,78.90752,LLMs
a87f4ce4a3ff2292a55ff0dc05beb083.pickle,GPT-3.5-Turbo,baseline,2024-20-06_17:25:17,2024-20-06_17:25:19,"tree, book, love, chair, cloud, hammer, banana, honesty, computer, freedom",baseline,1,baseline_prompt_1,tree,book,love,chair,cloud,hammer,banana,honesty,computer,freedom,78.68793,LLMs
e220362ec9bd9fb437816d0cbd40f4ee.pickle,GPT-3.5-Turbo,baseline,2024-19-06_07:24:48,2024-19-06_07:24:50,"flower, chair, happiness, mountain, computer, book, love, chocolate, car, tree",baseline,1,baseline_prompt_1,flower,chair,happiness,mountain,computer,book,love,chocolate,car,tree,75.5153,LLMs
19320a760e6d9b10b2333b987d802ecf.pickle,GPT-3.5-Turbo,baseline,2024-19-06_07:25:05,2024-19-06_07:25:07,"ocean, chair, happiness, guitar, pineapple, book, star, bicycle, freedom, mountain",baseline,1,baseline_prompt_1,ocean,chair,happiness,guitar,pineapple,book,star,bicycle,freedom,mountain,81.1276,LLMs
c85709c39b811f81e4a8ee9ffe249489.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:42:01,2024-18-06_20:42:04,"sun, chair, happiness, book, mountain, flower, coffee, umbrella, music, bicycle",baseline,1,baseline_prompt_1,sun,chair,happiness,book,mountain,flower,coffee,umbrella,music,bicycle,74.05304,LLMs
1650e464eba7d07d7d73cf7a3b1572f8.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:45:00,2024-17-06_10:45:02,"apple, chair, love, mountain, book, cloud, happiness, bicycle, beach, music",baseline,1,baseline_prompt_1,apple,chair,love,mountain,book,cloud,happiness,bicycle,beach,music,76.07621,LLMs
db7b19c9e3cb97ea5659b0d9c04d391d.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:35:50,2024-18-06_20:35:53,"flower, book, happiness, chair, mountain, telephone, cookie, music, sunshine, diamond",baseline,1,baseline_prompt_1,flower,book,happiness,chair,mountain,telephone,cookie,music,sunshine,diamond,81.00938,LLMs
8f04055182684c1a205e3d66f2ae8ba6.pickle,GPT-3.5-Turbo,baseline,2024-19-06_07:23:15,2024-19-06_07:23:17,"chair, dog, happiness, ocean, book, umbrella, mountain, computer, laughter, tree",baseline,1,baseline_prompt_1,chair,dog,happiness,ocean,book,umbrella,mountain,computer,laughter,tree,76.194626,LLMs
2bc25859a5c59d5a55f4fc2e65803958.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:54:23,2024-17-06_10:54:25,"apple, chair, love, ocean, book, sun, happiness, tree, music, butterfly",baseline,1,baseline_prompt_1,apple,chair,love,ocean,book,sun,happiness,tree,music,butterfly,73.208954,LLMs
49ac9179e8f2253a2e020360267e2a2c.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:36:59,2024-18-06_20:37:02,"dog, chair, happiness, mountain, apple, book, freedom, umbrella, laughter, ocean",baseline,1,baseline_prompt_1,dog,chair,happiness,mountain,apple,book,freedom,umbrella,laughter,ocean,76.40149,LLMs
c040f116a4f605bdcebc26c8552032cf.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:43:54,2024-18-06_20:43:56,"chair, apple, happiness, mountain, book, umbrella, freedom, music, cloud, bicycle",baseline,1,baseline_prompt_1,chair,apple,happiness,mountain,book,umbrella,freedom,music,cloud,bicycle,76.93277,LLMs
9d6d4d0534f2db27dbccacb809e5ffe4.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:52:38,2024-17-06_10:52:40,"dog, moon, happiness, chair, water, book, music, sunshine, mountain, love",baseline,1,baseline_prompt_1,dog,moon,happiness,chair,water,book,music,sunshine,mountain,love,76.43922,LLMs
91915f9df3435d213ae5d3a418ac5cdc.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:40:36,2024-18-06_20:40:39,"""apple, car, happiness, tree, book, sun, chair, music, cloud, dog""",baseline,1,baseline_prompt_1,apple,car,happiness,tree,book,sun,chair,music,cloud,dog,75.88677,LLMs
bd1d221015a7aeb6205c0df8ccd6d6a4.pickle,GPT-3.5-Turbo,baseline,2024-20-06_17:27:35,2024-20-06_17:27:38,"dog, chair, happiness, tree, computer, ocean, love, book, car, music",baseline,1,baseline_prompt_1,dog,chair,happiness,tree,computer,ocean,love,book,car,music,73.88183,LLMs
7092f33ed67802bc4627f1f43981238a.pickle,GPT-3.5-Turbo,baseline,2024-19-06_07:26:12,2024-19-06_07:26:14,"chair, dog, happiness, airplane, tree, book, music, pizza, ocean, computer",baseline,1,baseline_prompt_1,chair,dog,happiness,airplane,tree,book,music,pizza,ocean,computer,76.97047,LLMs
76c553986d39f885381791f659dd6920.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:38:41,2024-18-06_20:38:43,"""apple, chair, love, ocean, hat, music, cloud, book, freedom, star""",baseline,1,baseline_prompt_1,apple,chair,love,ocean,hat,music,cloud,book,freedom,star,75.969406,LLMs
8956e2e277ff7a5cd29a7db64a60ce9a.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:49:42,2024-17-06_10:49:44,"tree, chair, love, ocean, computer, happiness, book, elephant, sky, music",baseline,1,baseline_prompt_1,tree,chair,love,ocean,computer,happiness,book,elephant,sky,music,74.91573,LLMs
7e056a642323fd6d70048f99a7d5d702.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:54:52,2024-17-06_10:54:54,"dog, book, happiness, tree, car, ocean, chair, love, mountain, clock",baseline,1,baseline_prompt_1,dog,book,happiness,tree,car,ocean,chair,love,mountain,clock,75.87344,LLMs
0ef542e7ce77d15918b7ae2bbd7473a3.pickle,GPT-3.5-Turbo,baseline,2024-18-06_20:36:18,2024-18-06_20:36:21,"""chair, apple, love, book, bicycle, cloud, happiness, tree, hammer, ocean""",baseline,1,baseline_prompt_1,chair,apple,love,book,bicycle,cloud,happiness,tree,hammer,ocean,77.788994,LLMs
5a664035f8d8fd0b7502b909cdf42f98.pickle,GPT-3.5-Turbo,baseline,2024-20-06_17:24:57,2024-20-06_17:24:59,"""book, chair, love, tree, car, happiness, ocean, phone, music, diamond""",baseline,1,baseline_prompt_1,book,chair,love,tree,car,happiness,ocean,phone,music,diamond,74.41098,LLMs
1b42ee690caaecc23cc1bebdcee995c6.pickle,GPT-3.5-Turbo,baseline,2024-20-06_17:23:39,2024-20-06_17:23:41,"dog, sky, book, love, chair, apple, freedom, water, clock, happiness",baseline,1,baseline_prompt_1,dog,sky,book,love,chair,apple,freedom,water,clock,happiness,74.94178,LLMs
dfad705566915c7f2802579ab888bc69.pickle,GPT-3.5-Turbo,baseline,2024-19-06_07:23:29,2024-19-06_07:23:32,"dog, apple, chair, love, book, sky, hammer, happiness, tree, ocean",baseline,1,baseline_prompt_1,dog,apple,chair,love,book,sky,hammer,happiness,tree,ocean,76.94297,LLMs
ed19771d59509d9f380c233ad3264436.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:47:05,2024-17-06_10:47:07,"dog, house, love, tree, computer, banana, happiness, book, ocean, mountain",baseline,1,baseline_prompt_1,dog,house,love,tree,computer,banana,happiness,book,ocean,mountain,71.17198,LLMs
e4c696106e7e0af44b87480fe3172bf7.pickle,GPT-3.5-Turbo,baseline,2024-20-06_17:23:04,2024-20-06_17:23:06,"""chair, mountain, love, book, car, music, tree, happiness, computer, ocean""",baseline,1,baseline_prompt_1,chair,mountain,love,book,car,music,tree,happiness,computer,ocean,74.02346,LLMs
65a3cc597228c976ef6c973e06d244d4.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:46:39,2024-17-06_10:46:41,"flower, chair, happiness, book, mountain, sandwich, computer, umbrella, music, coffee",baseline,1,baseline_prompt_1,flower,chair,happiness,book,mountain,sandwich,computer,umbrella,music,coffee,80.01954,LLMs
c4a9b7f4170482abe8f7ef5ebe02a957.pickle,GPT-3.5-Turbo,baseline,2024-17-06_10:53:42,2024-17-06_10:53:44,"chair, cloud, book, apple, happiness, hammer, mountain, music, ocean, bicycle",baseline,1,baseline_prompt_1,chair,cloud,book,apple,happiness,hammer,mountain,music,ocean,bicycle,80.609856,LLMs
