record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_midpoint,Eastern,Yes,2026,1.0,1.0,0-2,1000,2026-07-14T15:41:32.746Z,2026-07-14T15:41:43.354Z,10607,,518f173c-7aa3-41f0-8b72-85983cc92e6c,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,504,648,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"universe, laughter, pebble, thunder, fabric, silence, democracy, flame, ocean, echo",ok,10,universe,laughter,pebble,thunder,fabric,silence,democracy,flame,ocean,echo,,git:a749760
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_midpoint,Eastern,Yes,2026,1.0,1.0,0-2,1000,2026-07-14T16:38:00.079Z,2026-07-14T16:38:17.667Z,17588,,79a5d6b6-85d9-400c-b135-f5e281b24d5b,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,886,1030,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"diamond, freedom, tornado, mirror, melody, gravity, blanket, twilight, pollen, steel",ok,10,diamond,freedom,tornado,mirror,melody,gravity,blanket,twilight,pollen,steel,,git:c075afd
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_midpoint,Eastern,Yes,2026,1.0,1.0,0-2,1001,2026-07-14T16:38:17.918Z,2026-07-14T16:38:24.179Z,6261,,433fe5c7-f05d-48d3-8df7-f0c77d55af66,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,335,479,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"rock, idea, butterfly, freedom, computer, water, chair, music, cloud, anger",ok,10,rock,idea,butterfly,freedom,computer,water,chair,music,cloud,anger,,git:c075afd
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_midpoint,Eastern,Yes,2026,1.0,1.0,0-2,1002,2026-07-14T16:38:24.430Z,2026-07-14T16:38:30.258Z,5827,,fc5b82c4-f2db-4d76-93aa-14d789c7a783,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,351,495,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, happiness, chair, thunder, justice, pillow, freedom, bicycle, silence, diamond",ok,10,apple,happiness,chair,thunder,justice,pillow,freedom,bicycle,silence,diamond,,git:c075afd
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_midpoint,Eastern,Yes,2026,1.0,1.0,0-2,1003,2026-07-14T16:38:30.509Z,2026-07-14T16:38:35.917Z,5408,,6bb1bccb-5891-4b99-b9d7-9b063b3d0e23,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,312,456,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"love, rock, tree, car, freedom, ocean, spoon, idea, tiger, cloud",ok,10,love,rock,tree,car,freedom,ocean,spoon,idea,tiger,cloud,,git:c075afd
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_midpoint,Eastern,Yes,2026,1.0,1.0,0-2,1000,2026-07-14T16:38:26.980Z,2026-07-14T16:38:42.020Z,15039,,64d23013-e624-4e21-a6a3-f26433b11f62,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,753,897,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"galaxy, whisper, velvet, clock, hunger, coral, mirror, liberty, feather, thunder",ok,10,galaxy,whisper,velvet,clock,hunger,coral,mirror,liberty,feather,thunder,,git:c075afd
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_midpoint,Eastern,Yes,2026,1.0,1.0,0-2,1004,2026-07-14T16:38:36.167Z,2026-07-14T16:38:48.562Z,12394,,b70ad859-2676-4e58-9d9a-86a4aeefb496,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,678,822,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"tree, joy, hammer, thunder, sand, party, finger, star, bread, freedom",ok,10,tree,joy,hammer,thunder,sand,party,finger,star,bread,freedom,,git:c075afd
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_midpoint,Eastern,Yes,2026,1.0,1.0,0-2,1001,2026-07-14T16:38:42.270Z,2026-07-14T16:38:52.582Z,10311,,4b26f175-0eb5-4c27-add7-b5316a42251a,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,584,728,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"star, sadness, bread, hammer, elephant, oil, time, hat, rose, house",ok,10,star,sadness,bread,hammer,elephant,oil,time,hat,rose,house,,git:c075afd
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_midpoint,Eastern,Yes,2026,1.0,1.0,0-2,1000,2026-07-14T16:38:36.796Z,2026-07-14T16:38:52.709Z,15912,,96c897c3-5778-47d0-9e13-a0742f12f573,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,888,1032,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"rock, joy, airplane, philosophy, thunderstorm, microbe, democracy, diamond, sneeze, galaxy",ok,10,rock,joy,airplane,philosophy,thunderstorm,microbe,democracy,diamond,sneeze,galaxy,,git:c075afd
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_midpoint,Eastern,Yes,2026,1.0,1.0,0-2,1000,2026-07-14T16:38:45.610Z,2026-07-14T16:38:56.356Z,10745,,a67a3546-6a94-434a-bce1-ffaff10b56e7,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,498,642,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"dog, tree, rock, idea, explosion, cup, silence, electricity, cloud, sadness",ok,10,dog,tree,rock,idea,explosion,cup,silence,electricity,cloud,sadness,,git:c075afd
