record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_thread2_n10,Eastern,Yes,2026,1.0,1.0,0-2,1000,2026-07-15T00:16:56.947Z,2026-07-15T00:17:04.131Z,7184,,a6c21075-cefd-4ab9-8e2b-47362f122e1a,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,441,585,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"laughter, diamond, silence, bicycle, thunder, curiosity, pillow, rainbow, eternity, garbage",ok,10,laughter,diamond,silence,bicycle,thunder,curiosity,pillow,rainbow,eternity,garbage,,git:0e15ab6
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_thread2_n10,Eastern,Yes,2026,1.0,1.0,0-2,1001,2026-07-15T00:17:04.382Z,2026-07-15T00:17:11.788Z,7405,,3105a55b-3de2-4ee7-ad80-11fbc9944429,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,512,656,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"time, chair, love, ocean, scissors, cloud, music, sand, dog, freedom",ok,10,time,chair,love,ocean,scissors,cloud,music,sand,dog,freedom,,git:0e15ab6
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_thread2_n10,Eastern,Yes,2026,1.0,1.0,0-2,1002,2026-07-15T00:17:12.039Z,2026-07-15T00:17:18.100Z,6061,,edeaf914-d544-4568-9e22-42bb274bba39,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,428,572,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"stone, laughter, computer, gravity, pillow, storm, freedom, pineapple, shadow, clock",ok,10,stone,laughter,computer,gravity,pillow,storm,freedom,pineapple,shadow,clock,,git:0e15ab6
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_thread2_n10,Eastern,Yes,2026,1.0,1.0,0-2,1003,2026-07-15T00:17:18.350Z,2026-07-15T00:17:24.489Z,6138,,0d97164a-bbd3-419d-aabb-ab12ca1686bb,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,447,591,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"love, rock, apple, hammer, dog, freedom, water, hand, thunder, music",ok,10,love,rock,apple,hammer,dog,freedom,water,hand,thunder,music,,git:0e15ab6
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_thread2_n10,Eastern,Yes,2026,1.0,1.0,0-2,1004,2026-07-15T00:17:24.740Z,2026-07-15T00:17:30.689Z,5949,,5a9a2fbf-d856-4902-ab2e-c27dffcc2d7f,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,426,570,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"joy, spoon, justice, rain, dog, tree, bread, hammer, heart, air",ok,10,joy,spoon,justice,rain,dog,tree,bread,hammer,heart,air,,git:0e15ab6
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_thread2_n10,Eastern,Yes,2026,1.0,1.0,0-2,1005,2026-07-15T00:17:30.940Z,2026-07-15T00:17:41.572Z,10631,,50d704c6-b4d0-4b20-b113-cddf9ce80db4,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,706,850,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"rock, butterfly, thunder, freedom, water, chair, echo, hunger, zero, dream",ok,10,rock,butterfly,thunder,freedom,water,chair,echo,hunger,zero,dream,,git:0e15ab6
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_thread2_n10,Eastern,Yes,2026,1.0,1.0,0-2,1006,2026-07-15T00:17:41.822Z,2026-07-15T00:17:47.022Z,5200,,0ee32761-2b53-4700-a8a2-c147610b4de0,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,383,527,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"galaxy, sorrow, spoon, oxygen, idea, thunder, velvet, elbow, honey, umbrella",ok,10,galaxy,sorrow,spoon,oxygen,idea,thunder,velvet,elbow,honey,umbrella,,git:0e15ab6
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_thread2_n10,Eastern,Yes,2026,1.0,1.0,0-2,1007,2026-07-15T00:17:47.273Z,2026-07-15T00:17:53.546Z,6273,,74e294b3-eafb-46a0-9898-5bba203e2d61,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,413,557,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"diamond, idea, thunder, kindness, wheel, ocean, feather, laughter, mirror, shadow",ok,10,diamond,idea,thunder,kindness,wheel,ocean,feather,laughter,mirror,shadow,,git:0e15ab6
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_thread2_n10,Eastern,Yes,2026,1.0,1.0,0-2,1008,2026-07-15T00:17:53.797Z,2026-07-15T00:17:59.944Z,6147,,41ae1ba6-26a9-4686-a2d1-3c35f63dd7c5,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,425,569,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, joy, hammer, river, freedom, cloud, chair, music, sand, idea",ok,10,apple,joy,hammer,river,freedom,cloud,chair,music,sand,idea,,git:0e15ab6
,DeepSeek V4 Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_thread2_n10,Eastern,Yes,2026,1.0,1.0,0-2,1009,2026-07-15T00:18:00.195Z,2026-07-15T00:18:04.903Z,4708,,ad52acb9-4e2e-41db-b3c3-b35f1eac4a6c,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,326,470,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"mountain, whisper, galaxy, teaspoon, grief, butterfly, oxygen, window, laughter, velvet",ok,10,mountain,whisper,galaxy,teaspoon,grief,butterfly,oxygen,window,laughter,velvet,,git:0e15ab6
