record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_thread2_n10,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T00:16:25.692Z,2026-07-15T00:16:27.757Z,2065,,923304c8-ddbd-461d-a9ee-cea8a2b8d9f6,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, shoe, dream, spoon, elephant, clock, anger, book",ok,10,apple,mountain,freedom,shoe,dream,spoon,elephant,clock,anger,book,,git:c30ff6a
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_thread2_n10,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T00:16:28.008Z,2026-07-15T00:16:29.805Z,1796,,e11c686f-c5f7-4609-a996-b700c947deb4,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, spoon, dream, bicycle, cloud, sadness, book, hammer",ok,10,apple,mountain,freedom,spoon,dream,bicycle,cloud,sadness,book,hammer,,git:c30ff6a
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_thread2_n10,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T00:16:30.055Z,2026-07-15T00:16:31.939Z,1883,,cc56880c-db6c-447e-8753-ebe07e82ce6b,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, dream, spoon, justice, cat, book, river, freedom, shoe",ok,10,apple,mountain,dream,spoon,justice,cat,book,river,freedom,shoe,,git:c30ff6a
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_thread2_n10,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T00:16:32.190Z,2026-07-15T00:16:34.048Z,1858,,dacffb3d-c010-40ea-a34b-ff7c79dd1b60,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, dog, river, idea, shoe, cloud, justice",ok,10,apple,mountain,freedom,clock,dog,river,idea,shoe,cloud,justice,,git:c30ff6a
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_thread2_n10,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T00:16:34.299Z,2026-07-15T00:16:36.200Z,1900,,0671edb2-7da6-4076-a2a6-5ed2d4686771,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cat, mountain, spoon, idea, tree, clock, happiness, book, river, shoe",ok,10,cat,mountain,spoon,idea,tree,clock,happiness,book,river,shoe,,git:c30ff6a
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_thread2_n10,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T00:16:36.450Z,2026-07-15T00:16:38.421Z,1970,,db169e25-d713-4ade-8fb2-f503d96f36a4,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, chair, cloud, friendship, book, river, idea, shoe",ok,10,apple,mountain,freedom,chair,cloud,friendship,book,river,idea,shoe,,git:c30ff6a
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_thread2_n10,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T00:16:38.672Z,2026-07-15T00:16:40.348Z,1676,,8c5e3a48-5a21-4927-b005-0ccb3b30864d,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, dream, spoon, ocean, anger, book, cloud",ok,10,apple,mountain,freedom,clock,dream,spoon,ocean,anger,book,cloud,,git:c30ff6a
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_thread2_n10,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T00:16:40.599Z,2026-07-15T00:16:42.511Z,1912,,951ac194-cc68-4f35-b8e7-85f72f99e1a9,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, clock, freedom, dog, book, water, sadness, spoon, cloud",ok,10,apple,mountain,clock,freedom,dog,book,water,sadness,spoon,cloud,,git:c30ff6a
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_thread2_n10,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T00:16:42.761Z,2026-07-15T00:16:44.527Z,1765,,c86e5884-26ee-4c2f-833d-f380aebebb59,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, fear, spoon, clock, freedom, dog, book, cloud, idea",ok,10,apple,mountain,fear,spoon,clock,freedom,dog,book,cloud,idea,,git:c30ff6a
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_thread2_n10,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T00:16:44.778Z,2026-07-15T00:16:46.623Z,1845,,55e7b488-cdff-4878-bb0b-5f63bcdb1090,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, cat, book, ocean, chair, happiness, cloud",ok,10,apple,mountain,freedom,clock,cat,book,ocean,chair,happiness,cloud,,git:c30ff6a
