record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,GPT-3.5-Turbo,gpt-3.5-turbo,gpt-3.5-turbo-0125,openai,https://api.openai.com/v1,collect_2026_thread2_n10,Western,No,2022,1.0,1.0,0-2,1000,2026-07-15T00:01:33.738Z,2026-07-15T00:01:35.732Z,1993,req_02085009367542309bbc6b3e11689f85,chatcmpl-E1hM6at0iVzzJv1ZEBgugAIwfODg0,,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"house, apple, happiness, car, ocean, chair, love, book, mountain, music",ok,10,house,apple,happiness,car,ocean,chair,love,book,mountain,music,,git:bed7810
,GPT-3.5-Turbo,gpt-3.5-turbo,gpt-3.5-turbo-0125,openai,https://api.openai.com/v1,collect_2026_thread2_n10,Western,No,2022,1.0,1.0,0-2,1001,2026-07-15T00:01:35.982Z,2026-07-15T00:01:37.087Z,1105,req_b508e7abe3fa4db1be51125d083c629e,chatcmpl-E1hM8yBFl4LzZ2he3QrYs1dNedAQs,,stop,145,20,165,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"carrot, chair, happiness, ocean, guitar, book, mountain, umbrella, computer, balloon",ok,10,carrot,chair,happiness,ocean,guitar,book,mountain,umbrella,computer,balloon,,git:bed7810
,GPT-3.5-Turbo,gpt-3.5-turbo,gpt-3.5-turbo-0125,openai,https://api.openai.com/v1,collect_2026_thread2_n10,Western,No,2022,1.0,1.0,0-2,1002,2026-07-15T00:01:37.338Z,2026-07-15T00:01:38.060Z,721,req_592c84e9112b4f45ac50722d9499a56a,chatcmpl-E1hM9yZLitzpJBqQgK65U41ScP3Y5,,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, chair, love, elephant, book, happiness, mountain, bicycle, music, cloud",ok,10,apple,chair,love,elephant,book,happiness,mountain,bicycle,music,cloud,,git:bed7810
,GPT-3.5-Turbo,gpt-3.5-turbo,gpt-3.5-turbo-0125,openai,https://api.openai.com/v1,collect_2026_thread2_n10,Western,No,2022,1.0,1.0,0-2,1003,2026-07-15T00:01:38.310Z,2026-07-15T00:01:39.685Z,1375,req_96015388dce24f51aaecba868cccb359,chatcmpl-E1hMAK62jVICWMISfYrx739PSg3bb,,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"flower, book, mountain, coffee, bicycle, happiness, tree, umbrella, computer, butterfly",ok,10,flower,book,mountain,coffee,bicycle,happiness,tree,umbrella,computer,butterfly,,git:bed7810
,GPT-3.5-Turbo,gpt-3.5-turbo,gpt-3.5-turbo-0125,openai,https://api.openai.com/v1,collect_2026_thread2_n10,Western,No,2022,1.0,1.0,0-2,1004,2026-07-15T00:01:39.936Z,2026-07-15T00:01:41.757Z,1820,req_bf13bd14b4774df6b3efaef7b3947387,chatcmpl-E1hMD9eXNn9VC4oXYtBr0KaesCJ0P,,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"dog, chair, happiness, mountain, banana, computer, love, book, water, car",ok,10,dog,chair,happiness,mountain,banana,computer,love,book,water,car,,git:bed7810
,GPT-3.5-Turbo,gpt-3.5-turbo,gpt-3.5-turbo-0125,openai,https://api.openai.com/v1,collect_2026_thread2_n10,Western,No,2022,1.0,1.0,0-2,1005,2026-07-15T00:01:42.008Z,2026-07-15T00:01:43.738Z,1730,req_57a8bfe822804e78bfa2f65bf8b5f3ed,chatcmpl-E1hMEQfhNOQYFBKGa7XoKD1bRJ3dg,,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"car, book, tree, happiness, chair, ocean, computer, love, mountain, music",ok,10,car,book,tree,happiness,chair,ocean,computer,love,mountain,music,,git:bed7810
,GPT-3.5-Turbo,gpt-3.5-turbo,gpt-3.5-turbo-0125,openai,https://api.openai.com/v1,collect_2026_thread2_n10,Western,No,2022,1.0,1.0,0-2,1006,2026-07-15T00:01:43.988Z,2026-07-15T00:01:46.923Z,2934,req_8a2c0e9bc2924bdb809619c88ce6b546,chatcmpl-E1hMGlwVaKM3EwJ9x2ClcH4AwRsO0,,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"dog, chair, happiness, book, mountain, car, freedom, tree, ocean, pencil",ok,10,dog,chair,happiness,book,mountain,car,freedom,tree,ocean,pencil,,git:bed7810
,GPT-3.5-Turbo,gpt-3.5-turbo,gpt-3.5-turbo-0125,openai,https://api.openai.com/v1,collect_2026_thread2_n10,Western,No,2022,1.0,1.0,0-2,1007,2026-07-15T00:01:47.174Z,2026-07-15T00:01:48.245Z,1070,req_85e344adcbe3414391236afac9efadf0,chatcmpl-E1hMJnywkyrg8S1OCunrfFpR4Ajlw,,stop,145,20,165,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"dog, chair, happiness, mountain, airplane, book, thunderstorm, cookie, laughter, ocean",ok,10,dog,chair,happiness,mountain,airplane,book,thunderstorm,cookie,laughter,ocean,,git:bed7810
,GPT-3.5-Turbo,gpt-3.5-turbo,gpt-3.5-turbo-0125,openai,https://api.openai.com/v1,collect_2026_thread2_n10,Western,No,2022,1.0,1.0,0-2,1008,2026-07-15T00:01:48.495Z,2026-07-15T00:01:49.156Z,660,req_19c3e618ab7f44e5aa901d843407b0bc,chatcmpl-E1hMK2aFF8DLMH9TpjT0Zr1MlsBuK,,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"bird, chair, happiness, ocean, coffee, book, umbrella, mountain, dream, bicycle",ok,10,bird,chair,happiness,ocean,coffee,book,umbrella,mountain,dream,bicycle,,git:bed7810
,GPT-3.5-Turbo,gpt-3.5-turbo,gpt-3.5-turbo-0125,openai,https://api.openai.com/v1,collect_2026_thread2_n10,Western,No,2022,1.0,1.0,0-2,1009,2026-07-15T00:01:49.406Z,2026-07-15T00:01:50.629Z,1222,req_be1c43bb8c1345509bc7d27db04b381f,chatcmpl-E1hMLx1xGl5khHw9GKggB2gvO54SF,,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"dog, chair, freedom, mountain, pencil, love, cookie, music, happiness, book",ok,10,dog,chair,freedom,mountain,pencil,love,cookie,music,happiness,book,,git:bed7810
