record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,DeepSeek-R1,deepseek-r1,deepseek-r1,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_thread2_n10,Eastern,Yes,2025,1.0,1.0,0-2,1000,2026-07-15T00:18:31.873Z,2026-07-15T00:18:47.645Z,15771,7b7bbbbb-126e-9307-8e04-4a504a221890,chatcmpl-7b7bbbbb-126e-9307-8e04-4a504a221890,,stop,143,460,603,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"tree, ocean, freedom, anger, window, moon, cheese, sadness, bicycle, museum",ok,10,tree,ocean,freedom,anger,window,moon,cheese,sadness,bicycle,museum,,git:d396e04
,DeepSeek-R1,deepseek-r1,deepseek-r1,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_thread2_n10,Eastern,Yes,2025,1.0,1.0,0-2,1001,2026-07-15T00:18:47.895Z,2026-07-15T00:18:57.157Z,9261,bcb62335-6d8e-93a8-b10d-163f3111d98b,chatcmpl-bcb62335-6d8e-93a8-b10d-163f3111d98b,,stop,143,263,406,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"emotion, building, tool, movement, plant, relation, food, principle, substance, performance",ok,10,emotion,building,tool,movement,plant,relation,food,principle,substance,performance,,git:d396e04
,DeepSeek-R1,deepseek-r1,deepseek-r1,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_thread2_n10,Eastern,Yes,2025,1.0,1.0,0-2,1002,2026-07-15T00:18:57.407Z,2026-07-15T00:19:14.729Z,17322,ac397334-a936-9be0-af9c-21f8db62aeff,chatcmpl-ac397334-a936-9be0-af9c-21f8db62aeff,,stop,143,520,663,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, whisper, echo, cloud, horizon, oxygen, fragrance, grain, campfire, loneliness",ok,10,chair,whisper,echo,cloud,horizon,oxygen,fragrance,grain,campfire,loneliness,,git:d396e04
,DeepSeek-R1,deepseek-r1,deepseek-r1,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_thread2_n10,Eastern,Yes,2025,1.0,1.0,0-2,1003,2026-07-15T00:19:14.980Z,2026-07-15T00:19:30.466Z,15486,5660e4e4-a4bd-9b7f-bda8-31d6e81dcb13,chatcmpl-5660e4e4-a4bd-9b7f-bda8-31d6e81dcb13,,stop,143,492,635,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"mountain, fear, equation, tree, justice, paper, love, river, freedom, chair",ok,10,mountain,fear,equation,tree,justice,paper,love,river,freedom,chair,,git:d396e04
,DeepSeek-R1,deepseek-r1,deepseek-r1,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_thread2_n10,Eastern,Yes,2025,1.0,1.0,0-2,1004,2026-07-15T00:19:30.717Z,2026-07-15T00:19:49.969Z,19252,4a411ca2-fe81-96b3-9db4-9991e447c940,chatcmpl-4a411ca2-fe81-96b3-9db4-9991e447c940,,stop,143,579,722,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, book, mountain, trust, game, confusion, sunlight, hammer, sorrow, moment",ok,10,cloud,book,mountain,trust,game,confusion,sunlight,hammer,sorrow,moment,,git:d396e04
,DeepSeek-R1,deepseek-r1,deepseek-r1,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_thread2_n10,Eastern,Yes,2025,1.0,1.0,0-2,1005,2026-07-15T00:19:50.220Z,2026-07-15T00:20:02.126Z,11906,7e2a8b75-c2a6-938f-8a8d-7fe0c795e7f5,chatcmpl-7e2a8b75-c2a6-938f-8a8d-7fe0c795e7f5,,stop,143,332,475,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"tree, human, mountain, water, justice, danger, hammer, fish, space, freedom",ok,10,tree,human,mountain,water,justice,danger,hammer,fish,space,freedom,,git:d396e04
,DeepSeek-R1,deepseek-r1,deepseek-r1,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_thread2_n10,Eastern,Yes,2025,1.0,1.0,0-2,1006,2026-07-15T00:20:02.377Z,2026-07-15T00:20:15.116Z,12739,8e24dc08-4556-9248-831c-14a8aa07c622,chatcmpl-8e24dc08-4556-9248-831c-14a8aa07c622,,stop,143,351,494,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"mountain, pebble, concept, sunshine, emotion, fabric, vehicle, puzzle, dream, melody",ok,10,mountain,pebble,concept,sunshine,emotion,fabric,vehicle,puzzle,dream,melody,,git:d396e04
,DeepSeek-R1,deepseek-r1,deepseek-r1,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_thread2_n10,Eastern,Yes,2025,1.0,1.0,0-2,1007,2026-07-15T00:20:15.367Z,2026-07-15T00:21:36.049Z,80682,6d7883b7-ac10-91a7-8af7-34de304ccc4d,chatcmpl-6d7883b7-ac10-91a7-8af7-34de304ccc4d,,stop,143,2620,2763,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"table, ocean, joy, thought, wind, freedom, stone, dream, lamp, shadow",ok,10,table,ocean,joy,thought,wind,freedom,stone,dream,lamp,shadow,,git:d396e04
,DeepSeek-R1,deepseek-r1,deepseek-r1,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_thread2_n10,Eastern,Yes,2025,1.0,1.0,0-2,1008,2026-07-15T00:21:36.300Z,2026-07-15T00:21:47.787Z,11487,a23cbcf2-5b23-9720-b2b1-2329eb373c6f,chatcmpl-a23cbcf2-5b23-9720-b2b1-2329eb373c6f,,stop,143,348,491,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"water,hatred,tree,joy,house,fear,ocean,time,mountain,freedom",ok,10,water,hatred,tree,joy,house,fear,ocean,time,mountain,freedom,,git:d396e04
,DeepSeek-R1,deepseek-r1,deepseek-r1,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_thread2_n10,Eastern,Yes,2025,1.0,1.0,0-2,1009,2026-07-15T00:21:48.038Z,2026-07-15T00:22:01.073Z,13035,503ff0fc-5827-912c-9476-45599d11f8a8,chatcmpl-503ff0fc-5827-912c-9476-45599d11f8a8,,stop,143,386,529,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"rock, water, tree, house, sun, love, animal, chair, music, river",ok,10,rock,water,tree,house,sun,love,animal,chair,music,river,,git:d396e04
