record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,Grok 4,grok-4.3,grok-4.3,xai,https://api.x.ai/v1,collect_2026_thread2_n10,Western,Yes,2025,1.0,1.0,0-2,,2026-07-15T00:14:26.398Z,2026-07-15T00:14:30.986Z,4587,6f7e330b-b3a2-9088-8724-4461f5362006,6f7e330b-b3a2-9088-8724-4461f5362006,fp_eb3c003fc66c14ed,stop,329,19,1020,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, democracy, mountain, bicycle, freedom, ocean, chair, happiness, book, thunder",ok,10,apple,democracy,mountain,bicycle,freedom,ocean,chair,happiness,book,thunder,,git:c30ff6a
,Grok 4,grok-4.3,grok-4.3,xai,https://api.x.ai/v1,collect_2026_thread2_n10,Western,Yes,2025,1.0,1.0,0-2,,2026-07-15T00:14:31.237Z,2026-07-15T00:14:35.399Z,4162,55045dc0-dc01-9e3c-83ed-9515dab7b7ed,55045dc0-dc01-9e3c-83ed-9515dab7b7ed,fp_eb3c003fc66c14ed,stop,329,19,943,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, happiness, mountain, freedom, chair, ocean, justice, cloud, book, courage",ok,10,apple,happiness,mountain,freedom,chair,ocean,justice,cloud,book,courage,,git:c30ff6a
,Grok 4,grok-4.3,grok-4.3,xai,https://api.x.ai/v1,collect_2026_thread2_n10,Western,Yes,2025,1.0,1.0,0-2,,2026-07-15T00:14:35.650Z,2026-07-15T00:14:40.894Z,5244,2cb77148-bd80-96fd-a955-cade231240fb,2cb77148-bd80-96fd-a955-cade231240fb,fp_eb3c003fc66c14ed,stop,329,19,952,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, justice, cloud, bicycle, happiness, mountain, book, freedom, river, friendship",ok,10,apple,justice,cloud,bicycle,happiness,mountain,book,freedom,river,friendship,,git:c30ff6a
,Grok 4,grok-4.3,grok-4.3,xai,https://api.x.ai/v1,collect_2026_thread2_n10,Western,Yes,2025,1.0,1.0,0-2,,2026-07-15T00:14:41.145Z,2026-07-15T00:14:46.095Z,4950,3e73d292-9731-9ea3-ad3e-0067f0eb85f7,3e73d292-9731-9ea3-ad3e-0067f0eb85f7,fp_eb3c003fc66c14ed,stop,329,19,1062,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"tree, car, love, book, time, fish, house, idea, music, water",ok,10,tree,car,love,book,time,fish,house,idea,music,water,,git:c30ff6a
,Grok 4,grok-4.3,grok-4.3,xai,https://api.x.ai/v1,collect_2026_thread2_n10,Western,Yes,2025,1.0,1.0,0-2,,2026-07-15T00:14:46.346Z,2026-07-15T00:14:51.576Z,5229,5faf42b9-baa9-9b01-be44-93ba4d8fc879,5faf42b9-baa9-9b01-be44-93ba4d8fc879,fp_eb3c003fc66c14ed,stop,329,19,1089,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, freedom, apple, mountain, happiness, bicycle, ocean, idea, clock, forest",ok,10,chair,freedom,apple,mountain,happiness,bicycle,ocean,idea,clock,forest,,git:c30ff6a
,Grok 4,grok-4.3,grok-4.3,xai,https://api.x.ai/v1,collect_2026_thread2_n10,Western,Yes,2025,1.0,1.0,0-2,,2026-07-15T00:14:51.826Z,2026-07-15T00:14:57.150Z,5323,ae4520d3-f188-9c70-95d5-ab1755bafb4c,ae4520d3-f188-9c70-95d5-ab1755bafb4c,fp_eb3c003fc66c14ed,stop,329,19,949,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"ball, truth, lamp, wind, beauty, spoon, fire, thought, shoe, silence",ok,10,ball,truth,lamp,wind,beauty,spoon,fire,thought,shoe,silence,,git:c30ff6a
,Grok 4,grok-4.3,grok-4.3,xai,https://api.x.ai/v1,collect_2026_thread2_n10,Western,Yes,2025,1.0,1.0,0-2,,2026-07-15T00:14:57.400Z,2026-07-15T00:15:01.581Z,4180,481aefe7-d065-9ba4-b7c4-ead6e4c1309e,481aefe7-d065-9ba4-b7c4-ead6e4c1309e,fp_eb3c003fc66c14ed,stop,329,19,834,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, justice, bicycle, cloud, democracy, elephant, friendship, guitar, happiness, mountain",ok,10,apple,justice,bicycle,cloud,democracy,elephant,friendship,guitar,happiness,mountain,,git:c30ff6a
,Grok 4,grok-4.3,grok-4.3,xai,https://api.x.ai/v1,collect_2026_thread2_n10,Western,Yes,2025,1.0,1.0,0-2,,2026-07-15T00:15:01.831Z,2026-07-15T00:15:06.351Z,4519,f6ea8ab7-e843-9738-88ce-d51b65a54515,f6ea8ab7-e843-9738-88ce-d51b65a54515,fp_eb3c003fc66c14ed,stop,329,19,1006,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, freedom, mountain, bicycle, happiness, book, river, spoon, shadow, chair",ok,10,apple,freedom,mountain,bicycle,happiness,book,river,spoon,shadow,chair,,git:c30ff6a
,Grok 4,grok-4.3,grok-4.3,xai,https://api.x.ai/v1,collect_2026_thread2_n10,Western,Yes,2025,1.0,1.0,0-2,,2026-07-15T00:15:06.601Z,2026-07-15T00:15:11.448Z,4847,0fd2c273-c740-9bd0-b079-8e98d134f3b9,0fd2c273-c740-9bd0-b079-8e98d134f3b9,fp_eb3c003fc66c14ed,stop,329,19,996,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"dog, table, freedom, cloud, pencil, justice, bicycle, flower, ocean, thought",ok,10,dog,table,freedom,cloud,pencil,justice,bicycle,flower,ocean,thought,,git:c30ff6a
,Grok 4,grok-4.3,grok-4.3,xai,https://api.x.ai/v1,collect_2026_thread2_n10,Western,Yes,2025,1.0,1.0,0-2,,2026-07-15T00:15:11.699Z,2026-07-15T00:15:18.229Z,6529,fc3c6ada-c71f-936c-a152-95d7733edf71,fc3c6ada-c71f-936c-a152-95d7733edf71,fp_eb3c003fc66c14ed,stop,329,20,1018,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"happiness, bicycle, mountain, justice, cloud, hammer, freedom, ocean, pencil, elephant",ok,10,happiness,bicycle,mountain,justice,cloud,hammer,freedom,ocean,pencil,elephant,,git:c30ff6a
