index,source,subset,collection_date,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_dat_score,word_dropped,cue_model_name,cue_1,cue_2,cue_3,cue_4,cue_5,cue_6,cue_7,cue_8,cue_9,cue_10,cue_dat_score,cue_dropped,augment_1,augment_2,augment_3,augment_4,augment_5,augment_6,augment_7,augment_8,augment_9,augment_10,augment_dat_score,augment_dropped,demo_age,demo_gender,demo_country,demo_region,demo_ethnicity,demo_education,demo_major,demo_english_comfort,demo_program_type,demo_multilingual,extra_json
pnas_R_OCfAxZo5M0SxNMB,olson_pnas2021,study2,,copper,insect,volcano,trolley,goblet,dog,traffic light,earring,tomb,planet,83.030685,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,Australia,,,,,,,TRUE,
pnas_R_1ir4JlMoEeQzoVo,olson_pnas2021,study2,,apple,brick,water,air,star,leg,spanner,typewriter,wall,whale,80.90312,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Australia,,,,,,,FALSE,
pnas_R_1gHhDldnPSA4GDT,olson_pnas2021,study2,,weapon,beach,sky,wind,fire,dragon,cloak,book,fruit,cup,68.2846,0,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,
pnas_R_2ahjZT3xEElN5Da,olson_pnas2021,study2,,ball,nail,rose,stone,sea,fly,relax,sweat,hunger,scorpion,73.69621,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Australia,,,,,,,FALSE,
pnas_R_bEHztu6LDU2uL0R,olson_pnas2021,study2,,sponge,elephant,balloon,sandpaper,orange,air,hair,sandal,tablecloth,freckle,75.083206,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,Australia,,,,,,,FALSE,
pnas_R_2DY8MoeVszo6jKO,olson_pnas2021,study2,,Car,Tree,umbrella,fire hydrant,Steel Beam,Unicorn,Rock,Water,Chips,Person,78.34474,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Australia,,,,,,,FALSE,
pnas_R_1DXYVQbCAVKd82u,olson_pnas2021,study2,,horse,paper,flower,spanner,computer,pen,car,bike,light,nose,78.989,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Male,Australia,,,,,,,FALSE,
pnas_R_3F4huoEdiULkgUH,olson_pnas2021,study2,,Tree,Car,Iceberg,Pilot,Sound,Planet,Elephant,Hat,Slide,Love,78.967384,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Australia,,,,,,,FALSE,
pnas_R_1f2uWg5Y98ikSzx,olson_pnas2021,study2,,light,round,rough,slippery,crinkled,greased,scales,hook,bed,food,75.99895,0,,,,,,,,,,,,,,,,,,,,,,,,,,55,Male,Australia,,,,,,,TRUE,
pnas_R_PCyUCX2tTKDJTRD,olson_pnas2021,study2,,flower,donkey,magnifier,apple,rock,cloud,toupee,fan,dirt,sunscreen,86.23807,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Australia,,,,,,,TRUE,
pnas_R_OdMfsIAAB43D7PP,olson_pnas2021,study2,,tyer,block,tin,leaver,idea,sleepers,shoe,gear,roof,kaleidoscope,83.75823,0,,,,,,,,,,,,,,,,,,,,,,,,,,26,Male,Fiji,,,,,,,FALSE,
pnas_R_3JgbhfVu6zQgq37,olson_pnas2021,study2,,show,town,show,head,time,table,phone,house,country,ant hill,67.22844,0,,,,,,,,,,,,,,,,,,,,,,,,,,18,Female,Australia,,,,,,,FALSE,
