user_id,class_session,gender,race_ethnicity,age,english_comfort,education,consent,major,newsletter,language,region,program_type,individual_exercise_id,individual_score,individual_completed_at,individual_ai_model,individual_duration,individual_word_1,individual_word_2,individual_word_3,individual_word_4,individual_word_5,individual_word_6,individual_word_7,individual_word_8,individual_word_9,individual_word_10,individual_uniqueness,augmented_pair_exercise_id,augmented_pair_score,augmented_pair_completed_at,augmented_pair_ai_model,augmented_pair_duration,augmented_pair_word_1,augmented_pair_word_2,augmented_pair_word_3,augmented_pair_word_4,augmented_pair_word_5,augmented_pair_word_6,augmented_pair_word_7,augmented_pair_word_8,augmented_pair_word_9,augmented_pair_word_10,augmented_pair_machine_word_1,augmented_pair_machine_word_2,augmented_pair_machine_word_3,augmented_pair_machine_word_4,augmented_pair_machine_word_5,augmented_pair_machine_word_6,augmented_pair_machine_word_7,augmented_pair_machine_word_8,augmented_pair_machine_word_9,augmented_pair_machine_word_10,augmented_pair_ai_score,augmented_pair_uniqueness,augmented_pair_machine_uniqueness
626,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Moderately comfortable with English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,1927,81.14630126953125,2025-03-17 07:42:33.146683,,,沙滩,飞机,柳树,枕头,耳机,操场,发展,自由,天花板,机器人,81.8525,1930,,,,,,,,,,,,,,,[],,,,,,,,,,,,
627,ALV Company Guest Lecture by Prof. Wang,Man,Asian,18-24,Moderately comfortable with English,Master's degree,1,,0,en,Asia,Academic Workshop,1933,84.23370361328125,2025-03-17 07:39:52.783371,,,lion,phones,bottle,rocket,dumpling,table,capsule,building,coat,mountain,83.0303,1936,,,,,,,,,,,,,,,[],,,,,,,,,,,,
628,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Not a native English speaker but fluent in English,Master's degree,1,,0,en,Asia,Academic Workshop,1939,81.58209991455078,2025-03-17 07:39:38.619692,,,mom,shoes,planet,lion,crops,emperor,drugs,inflation,triangle,spring,81.9928,1942,,,,,,,,,,,,,,,[],,,,,,,,,,,,
629,ALV Company Guest Lecture by Prof. Wang,Man,Asian,18-24,Not a native English speaker but fluent in English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,1945,87.7240982055664,2025-03-17 07:42:13.519867,,,hat,psychology,bronchitis,skyscraper,dead,splendid,controversy,politician,terrestrial,quickly,84.6945,1948,,,,,,,,,,,,,,,[],,,,,,,,,,,,
631,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Not a native English speaker but fluent in English,Master's degree,1,,0,en,Asia,Academic Workshop,1957,88.76609802246094,2025-03-17 07:42:25.154261,,,星座,河流,木偶,书本,季节,手机,面包,衣服,文化,舞蹈,83.8715,1960,,,,,,,,,,,,,,,[],,,,,,,,,,,,
632,ALV Company Guest Lecture by Prof. Wang,Man,Asian,25-34,Prefer not to say,Prefer not to say,1,,0,en,Asia,Academic Workshop,1963,80.62940216064453,2025-03-17 07:42:38.407175,,,rocket,cup,Strength,table,Nostalgia,Research,desire,ship,education,stone,81.1525,1966,,,,,,,,,,,,,,,[],,,,,,,,,,,,
633,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Not a native English speaker but fluent in English,Prefer not to say,1,,0,en,Asia,Academic Workshop,1969,75.20339965820312,2025-03-17 07:42:21.381179,,,电线,网,火箭,树,衣服,房屋,光,灰尘,水,鞋,79.2169,1972,,,,,,,,,,,,,,,[],,,,,,,,,,,,
634,ALV Company Guest Lecture by Prof. Wang,Man,Asian,25-34,Not a native English speaker but fluent in English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,1975,75.41089630126953,2025-03-17 07:39:30.852540,,,水,天空,火箭,牛,工牌,包,鼻子,树叶,激情,灯,79.3128,1978,,,,,,,,,,,,,,,[],,,,,,,,,,,,
635,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Moderately comfortable with English,Master's degree,1,,0,en,Asia,Academic Workshop,1981,80.98300170898438,2025-03-17 07:42:34.945153,,,猫,星星,火焰,麦片,眼镜,棉花,海洋,垫子,铅笔,肥料,81.5384,1984,,,,,,,,,,,,,,,[],,,,,,,,,,,,
636,ALV Company Guest Lecture by Prof. Wang,Man,White,18-24,Not a native English speaker but fluent in English,Master's degree,1,,0,en,Asia,Academic Workshop,1987,85.60070037841797,2025-03-17 07:42:14.955033,,,摄像头,猫,头发丝,氯气,银河系,线粒体,加速度,黑皮肤,鸡毛掸子,海峡,84.5938,1990,,,,,,,,,,,,,,,[],,,,,,,,,,,,
638,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,35-44,Not a native English speaker but fluent in English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,1999,76.89289855957031,2025-03-17 07:42:36.237393,,,milk,children,rocket,desk,flower,Hair,light,Bricks,Exit,Emoji,78.6884,2002,,,,,,,,,,,,,,,[],,,,,,,,,,,,
639,ALV Company Guest Lecture by Prof. Wang,Prefer not to say,Prefer not to say,Prefer not to say,Uncomfortable with English,Prefer not to say,1,,0,ch,Asia,Academic Workshop,2005,80.06639862060547,2025-03-17 07:40:10.376659,,,衣柜,帽子,纸巾,咖啡,牛油果,矿泉水,大厦,多媒体,会议室,课桌,81.1967,2008,,,,,,,,,,,,,,,[],,,,,,,,,,,,
641,ALV Company Guest Lecture by Prof. Wang,Man,Asian,25-34,Not a native English speaker but fluent in English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2011,75.05770111083984,2025-03-17 07:44:30.989488,,,chandelier,tablecloth,zipper,toilet,lens,green,jacket,hairdresser,microphone,pimple,83.1615,2014,,,,,,,,,,,,,,,[],,,,,,,,,,,,
640,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Not a native English speaker but fluent in English,Master's degree,1,,0,en,Asia,Academic Workshop,2017,77.73729705810547,2025-03-17 07:39:25.448563,,,cake,pen,people,pin,shoes,plants,heart,words,intelligence,lamps,79.1828,2020,,,,,,,,,,,,,,,[],,,,,,,,,,,,
642,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Moderately comfortable with English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2023,64.36620330810547,2025-03-17 07:42:37.092845,,,舒服,床,睡觉,温暖,纸巾,衣服,食物,思路,咖啡,烦人,79.1887,2026,,,,,,,,,,,,,,,[],,,,,,,,,,,,
644,ALV Company Guest Lecture by Prof. Wang,Woman,Asian,25-34,Not a native English speaker but fluent in English,Bachelor's degree,1,,0,en,Asia,Academic Workshop,2035,80.12310028076172,2025-03-17 07:39:25.992509,,,grid,Pants,window,sky,Cats,sofa,comedy,phone,money,Vacation,81.6397,2038,,,,,,,,,,,,,,,[],,,,,,,,,,,,
