id,age,gender,country,multilingual,dat,word.1,word.2,word.3,word.4,word.5,word.6,word.7,word.8,word.9,word.10
R_OCfAxZo5M0SxNMB,35,Female,Australia,TRUE,83.0306999740146,copper,insect,volcano,trolley,goblet,dog,traffic light,earring,tomb,planet
R_1ir4JlMoEeQzoVo,35,Male,Australia,FALSE,80.9031283039422,apple,brick,water,air,star,leg,spanner,typewriter,wall,whale
R_1gHhDldnPSA4GDT,18,NA,NA,NA,68.2846094525996,weapon,beach,sky,wind,fire,dragon,cloak,book,fruit,cup
R_2ahjZT3xEElN5Da,35,Male,Australia,FALSE,73.69620572953,ball,nail,rose,stone,sea,fly,relax,sweat,hunger,scorpion
R_bEHztu6LDU2uL0R,35,Female,Australia,FALSE,75.0832128915049,sponge,elephant,balloon,sandpaper,orange,air,hair,sandal,tablecloth,freckle
R_2DY8MoeVszo6jKO,35,Male,Australia,FALSE,78.3447335873331,Car,Tree,umbrella,fire hydrant,Steel Beam,Unicorn,Rock,Water,Chips,Person
R_1DXYVQbCAVKd82u,55,Male,Australia,FALSE,78.989007368329,horse,paper,flower,spanner,computer,pen,car,bike,light,nose
R_3F4huoEdiULkgUH,35,Male,Australia,FALSE,78.9673868744146,Tree,Car,Iceberg,Pilot,Sound,Planet,Elephant,Hat,Slide,Love
R_1f2uWg5Y98ikSzx,55,Male,Australia,TRUE,75.9989574906372,light,round,rough,slippery,crinkled,greased,scales,hook,bed,food
R_PCyUCX2tTKDJTRD,35,Male,Australia,TRUE,86.2380641113434,flower,donkey,magnifier,apple,rock,cloud,toupee,fan,dirt,sunscreen
R_OdMfsIAAB43D7PP,26,Male,Fiji,FALSE,83.7582187815791,tyer,block,tin,leaver,idea,sleepers,shoe,gear,roof,kaleidoscope 
R_3JgbhfVu6zQgq37,18,Female,Australia,FALSE,67.228448107129,show,town,show,head,time,table,phone,house,country,ant hill
R_3CTrw42twmUzSOL,26,Female,Israel,TRUE,84.3675815566842,Dinosaur,Tablecloth,Idea,Sand,Polygamy,Notice,Sadness,Atom,Funnel,Curve
R_DCa54ivl0WALgl3,35,Female,Australia,FALSE,79.4774682571491,rose,water,rake,hose,boat,diamond,tablet,cord,coffee,lace
R_3FUOc2nN3NdPuO5,55,Male,Australia,FALSE,69.7281073246683,tree,car,rock,lake,fish,frige,broom,house,fig,rope
R_1gcFCyOUCFwS5m2,70,Male,Australia,FALSE,83.7777085934899,spider,parachute,soil,circle,book,tile,hail,post,letter,scrub
R_3LXab4NjOUC4Yfv,35,Female,Australia,FALSE,88.254840813932,Shoe,Quasar,Oil filter,Jellybean,Sand,Custard,Hammer,Radio,Knife,Spiderweb 
R_2TZwnp0T7WpcijF,18,Male,Australia,FALSE,79.7289529194435,Pizza,Phone,Wacom,Bottle,Website,Sunscreen,Soccer,Wallet,Notebook,Glasses
R_12kXHSsbh5g2mCr,55,Male,Australia,FALSE,81.0183455191907,tree,planet,human,microscope,faeces,typewriter,stone,numbers,wifi,soil
R_3MfhfWWjR3kqHYe,35,Male,Australia,FALSE,86.7890649918644,chair,tree,cat,star,vacuum,waterspout,siren,sensibility,sink,nitrogen
R_2Pp27PaBjJSn7BH,55,Male,United Kingdom of Great Britain and Northern Ireland,FALSE,69.7913931239219,golf club,ant,rock,jelly,concrete,lake,mountain,tree,insect,dinosaur
R_1rpKdO2VFsECVps,35,Female,United Kingdom of Great Britain and Northern Ireland,FALSE,81.2755801138424,shoe,umbrella,galaxy,child,sushi,desert,car,mother,novel,ocean
R_2fdoGhKzg5OUAG5,18,Female,Australia,FALSE,85.616565026742,green,peace,abseiling,pillow,kangaroo,tent,calculus,guitar,splinter,hungry
R_2tJ4A9kbLQSjUAa,55,Male,New Zealand,FALSE,71.9182713578145,Cloud,magna,black-hole,photon,light,happy,ill,sad,dead,heat
R_Z33ZtRwlUuIYOZP,35,Male,Denmark,TRUE,70.5205572857743,Water,Sun,shirt,car,vacuum,sand,life,thought,numbers,physics
R_3EQ11dj98w2n7aS,35,Male,Australia,FALSE,71.392720866771,Door,Foot,Table,Horse,Lamp,Battery,Bucket,Roof,Tree,Car
R_6orvuRkCEc3lhtf,55,Male,Australia,TRUE,76.3798815153894,arrow,cat,sky,egg,hair,wheat,electricity,ship,planet,tears
R_3scWCVQ3MznxCJk,55,Male,Australia,FALSE,76.3347339772043,fear,door,ship,circus,bike,ice,fish,peg,planet,atom
R_33q0vnEsykemeek,35,Male,Australia,FALSE,79.9440493186315,star,baby,cloud,pencil,chocolate,lava,football,wood,glass,beanie
R_O7pdc76MUdM43xn,26,Female,Australia,FALSE,86.4150264921288,ice ,hand sanitiser,watch,nail polish,bread crumbs,telephone,highlighter,xray,drawer,shower
R_1FqUrra95OmdBB7,35,Male,Australia,TRUE,84.180011855261,fart,window,yellow,sadness,astrophysics,elephant,marble,chlorophyll,dirty,freedom
R_1PY6SjnY83wwaiM,55,Female,Australia,FALSE,78.3380722360952,summer,winter,food,pregnancy,teeth,kettle,farting,toenail,stars,polkadots
R_yEF5hwPI9VtDgqt,18,Male,United Kingdom of Great Britain and Northern Ireland,FALSE,75.9807840699241,Paper,House,Bicycle,Internet,Gun,Island,Open,Prison,Ice,Test
R_06CAKhLwn7S4vnP,26,Female,Hong Kong (S.A.R.),TRUE,82.3180646059059,cheese,dog,snake,computer,whiteboard,receipt,business card,program,glasses,school
R_2UfjiamN1gBL8Hh,26,Male,Australia,FALSE,74.2846310493492,Vase ,Moon ,Chair,Wood,Toilet,Spatula,Brick,Pole ,Cat,Muscle
R_1DHV1n2SbfrQXfM,55,Female,Australia,FALSE,76.1065307827223,doll,tractor,soil,air,fire,cup,plate,fork,spoon,knife
R_2SHKa8KLLjQKnQY,35,Female,Australia,TRUE,89.7230308635959,Phoenix,Cloud,Bearer,Lava,Xylophone ,Toothbrush ,Enzyme,Sunflower ,Wave,Pitch
R_1LwM7qtXu7gVyn3,26,Female,Australia,FALSE,79.0781126579358,brick,rainbow,steeple,moon,round,keys,band,sticker,fabric,flame
R_7UwAzJ8K9ynjWHT,35,Female,New Zealand,FALSE,86.1102951224893,Blanket,Cloud,Cat,Vehicle,Juice,Neutron,Career,Rose,Ocean,Boy
R_1lyp80n9YTPykpt,35,Male,Australia,FALSE,81.5936843731574,fried,death,compost,hatred,discovery,war,nutty,castle,demonic,donkey
R_2YnxjS3rNEjLmKS,35,Male,France,TRUE,84.5696535704303,plate,tooth,submarine,schedule,rotisserie,broom,tube,ice,book,chili
R_1k2poIWnTtXC1ge,26,Male,Australia,FALSE,86.0840729304722,Rhinoceros,Deskchair,Galaxy,Microchip,Typo,Brakelight,Soda,Bacteria,Toenail,Dragon
R_1DU3z27oPXXekjZ,55,Male,Australia,TRUE,76.4938454897631,cat,water,fire,cloud,cancer,chair,helicopter,planet,crossword,love
R_2Ezb9S538oIIqte,35,Male,Yemen,TRUE,78.5701499276218,House,Flower,Pencil,Anemone,Silk,Star,Dice,Pepper,Number,Air
R_s6StnGxNkuE9atX,18,Male,Australia,FALSE,86.4455663726576,Xylophone,Aardvark ,Space,Time,Computer,Eel,Ring,Matter,Plant,Psychologist
R_2waGiVCvb13AkOa,35,Female,Australia,FALSE,82.8005595664893,floor,game,amber,hair,road,bark,skyscraper,iguana,bottle,chasm
