student_id,dat_1_en,dat_2_en,dat_3_en,dat_4_en,dat_5_en,dat_6_en,dat_7_en,dat_8_en,dat_9_en,dat_10_en,sex_en,ethnicity_en,province_en,major_en,college_en,admission_batch_en,candidate_type_en,foreign_language_en
250150108,nephew,cake,birthday,wristwatch,curtain,shoes,manicure,boss,friday,composition,female,Buyi,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150118,hell,apple,zombie,poprocks,banana,rocket,shoes,box,study,waterfall,female,Han,Jiangxi,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150119,refrigerator,magnet,train,tree,rocket,robot,electron,photon,radiation,plug,female,Chuanqing,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150128,watermelon,penguin,bread,boat,amusementpark,polarbear,universe,soymilk,airplane,bath,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150129,stereo,trees,hotpot,kebab,milktea,glasses,sidewalk,hairband,road,car,female,Gelao,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150130,pipe,tester,airplane,computer,balance,chestnut,paper,douzhi,shoelace,insect,male,Buyi,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150132,windmill,broadcasting,cable,redflag,glass,tapwater,sun,rainbow,cash,traffic,female,Tujia,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150133,plastic,greenbelt,shop,lemon,mars,willow,river,amber,forest,volcano,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150134,wheel,frequency,sand,mouse,sewer,vitreous,chloroplast,flag,cat,shaft,female,Bai,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150135,seawater,apple,toothpaste,hammock,banana,soymilk,rocket,turkey,sorghum,mural,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150136,scholar,education,book,flower,complete,prayer,airplane,aviation,work,method,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150137,aviation,rice,lion,mangosteen,elephant,game,war,cancer,treatment,beauty,male,Tujia,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150138,ocean,yacht,fish,seagull,sky,bird,lamp,stereo,flag,wilderness,female,Han,Jiangxi,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150139,pear,breakfast,piano,schoolbag,umbrella,computer,ticket,notebook,top,badge,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150140,soil,poison,pants,rocket,ant,spaceship,dumpling,blackhole,castle,couple,male,Han,Hubei,Clinical Medicine,Clinical College,Second-batch Undergraduate,Regular Gaokao,English
250150142,bird,float,sky,paradise,band,ocean,forest,cloud,bicycle,sunshine,male,Han,Sichuan,Clinical Medicine,Clinical College,Second-batch Undergraduate,National Unified Exam,English
250150154,floatie,straw,cloud,grass,cake,pen,hamster,umbrella,cup,backpack,female,Han,Guangdong,Clinical Medicine,Clinical College,Second-batch Undergraduate,Regular Unified Exam,English
250150202,field,dragon,popsicle,raindrop,vacation,sentence,celebrity,chatter,seeds,meaning,female,Li,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150203,luggage,banana,money,chang'e,hotpot,fish,composition,egg,champion,realty,female,Tujia,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150210,sail,waterfall,snowmountain,scissors,fishpond,hotpot,clothing,program,lawn,bulb,female,Tujia,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150216,plan,annually,sketch,jade,prosper,level,weather,mars,carp,girl,female,Miao,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150221,fruit,candle,clothes,traffic,beauty,box,galaxy,earth,sky,house,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150223,family,snowfall,peel,ox,soil,planting,dedicate,enjoy,experience,choice,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150226,sun,glasses,hairdryer,rainbow,manicure,fish,osmanthus,mulberry,necklace,skirt,female,Dong,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150227,apple,cloud,tractor,river,camera,seat,airconditioner,classroom,blackhole,doll,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150228,life,weather,world,freedom,ecology,wisdom,tomorrow,money,snack,scenery,male,Tujia,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150229,chair,running,ship,zebra,hairpin,rail,meteor,cake,oasis,keyboard,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150231,batting,powder,kite,slough,dew,moss,flute,association,classroom,football,male,Miao,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150233,keyboard,clothes,pen,sky,bulb,classroom,heart,emotion,trees,airconditioner,female,Han,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150235,floor,space,strawberry,textbook,clothes,cup,cellphone,airplane,ocean,skin,female,Han,Anhui,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150237,banana,pigsy,grape,refrigerator,travel,game,badminton,hunk,panda,friendship,female,Buyi,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150238,basketball,clock,drumstick,airplane,go,cigarette,rocket,moon,clothes,airconditioner,male,Han,Fujian,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150239,ant,eyelash,worm,space,whale,clock,plank,magma,gem,snail,female,Han,Fujian,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150240,rain,happy,school,schoolbag,cellphone,television,family,book,bottle,dormitory,male,Han,Yunnan,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150241,house,village,pear,tree,chair,pole,lawn,birdie,cloud,uncle,female,Tujia,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
250150243,game,universe,mimicry,future,technology,march,ruins,fate,beauty,environment,male,Buyi,Guizhou,Clinical Medicine,Clinical College,Second-batch Undergraduate,Autumn Unified Exam,English
