record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,o3,o3-2025-04-16,o3-2025-04-16,openai,https://api.openai.com/v1,collect_2026_midpoint,Western,Yes,2025,1.0,1.0,0-2,1000,2026-07-14T15:39:08.599Z,2026-07-14T15:39:12.080Z,3480,req_6cfc806c819e4bd6b64eb33d73d384bc,chatcmpl-E1ZVt2aHhh33RmILnhgnHkaPGeMaW,,stop,144,165,309,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"banana, cloud, hammer, melody, justice, cactus, candle, river, mirror, galaxy",ok,10,banana,cloud,hammer,melody,justice,cactus,candle,river,mirror,galaxy,,git:a749760
,GPT-5.6 Sol,gpt-5.6-sol,gpt-5.6-sol,openai,https://api.openai.com/v1,collect_2026_midpoint,Western,Yes,2026,1.0,1.0,0-2,1000,2026-07-14T15:41:01.838Z,2026-07-14T15:41:07.962Z,6124,req_74a4a70460cb4329a9f4074c581bc5f8,chatcmpl-E1ZXi4yQWtcO7wqKECkqb2FPO9sPs,,stop,144,100,244,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"hammer, cloud, justice, bread, music, forest, mirror, sadness, fire, insect",ok,10,hammer,cloud,justice,bread,music,forest,mirror,sadness,fire,insect,,git:a749760
,o3,o3-2025-04-16,o3-2025-04-16,openai,https://api.openai.com/v1,collect_2026_midpoint,Western,Yes,2025,1.0,1.0,0-2,1000,2026-07-14T15:55:46.320Z,2026-07-14T15:55:49.676Z,3356,req_e390be7f097c4691835c04108612ed54,chatcmpl-E1ZlymwOUduchh8aqDO4a4W5tF1bJ,,stop,144,229,373,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"banana, hammer, cloud, justice, melody, island, mirror, dream, engine, desert",ok,10,banana,hammer,cloud,justice,melody,island,mirror,dream,engine,desert,,git:f54bdca
,o3,o3-2025-04-16,o3-2025-04-16,openai,https://api.openai.com/v1,collect_2026_midpoint,Western,Yes,2025,1.0,1.0,0-2,1001,2026-07-14T15:55:49.927Z,2026-07-14T15:55:53.916Z,3988,req_c7e5c1aaeea94def85abb3150f5c5093,chatcmpl-E1Zm2nT6oK1jYtF6cYA649x2LXcQ0,,stop,144,293,437,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"hammer, cloud, melody, mirror, forest, silence, engine, candle, river, courage",ok,10,hammer,cloud,melody,mirror,forest,silence,engine,candle,river,courage,,git:f54bdca
,o3,o3-2025-04-16,o3-2025-04-16,openai,https://api.openai.com/v1,collect_2026_midpoint,Western,Yes,2025,1.0,1.0,0-2,1002,2026-07-14T15:55:54.166Z,2026-07-14T15:55:58.307Z,4141,req_53731ae53ffa4976b779c02431e5adb2,chatcmpl-E1Zm60B12burCqixi2ROdUAfZ8ZyL,,stop,144,293,437,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"hammer, cloud, melody, cactus, justice, sandwich, lantern, glacier, whisper, galaxy",ok,10,hammer,cloud,melody,cactus,justice,sandwich,lantern,glacier,whisper,galaxy,,git:f54bdca
,o3,o3-2025-04-16,o3-2025-04-16,openai,https://api.openai.com/v1,collect_2026_midpoint,Western,Yes,2025,1.0,1.0,0-2,1003,2026-07-14T15:55:58.558Z,2026-07-14T15:56:02.693Z,4135,req_b657921dcf33462693c0844b20b81604,chatcmpl-E1ZmAhMqRXbSweQ3lyfXdwPaklwK4,,stop,144,167,311,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"mountain, whisper, kettle, courage, lantern, melody, sponge, thunder, pebble, justice",ok,10,mountain,whisper,kettle,courage,lantern,melody,sponge,thunder,pebble,justice,,git:f54bdca
,o3,o3-2025-04-16,o3-2025-04-16,openai,https://api.openai.com/v1,collect_2026_midpoint,Western,Yes,2025,1.0,1.0,0-2,1004,2026-07-14T15:56:02.944Z,2026-07-14T15:56:05.710Z,2765,req_70989b728dc846cbbc208d742a6ccad0,chatcmpl-E1ZmF0BaESnT8zDyqcMv7LhUdLxCN,,stop,144,165,309,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, freedom, apple, thunder, mirror, desert, melody, engine, rainbow, whisper",ok,10,chair,freedom,apple,thunder,mirror,desert,melody,engine,rainbow,whisper,,git:f54bdca
,o3,o3-2025-04-16,o3-2025-04-16,openai,https://api.openai.com/v1,collect_2026_midpoint,Western,Yes,2025,1.0,1.0,0-2,1005,2026-07-14T15:56:05.960Z,2026-07-14T15:56:07.995Z,2034,req_83d484daad8c492fa377b6b110709c26,chatcmpl-E1ZmILwI0es1EwhfAUqTTxHgbrrpg,,stop,144,165,309,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, cloud, hammer, melody, desert, courage, mirror, thunder, pillow, puzzle",ok,10,apple,cloud,hammer,melody,desert,courage,mirror,thunder,pillow,puzzle,,git:f54bdca
,o3,o3-2025-04-16,o3-2025-04-16,openai,https://api.openai.com/v1,collect_2026_midpoint,Western,Yes,2025,1.0,1.0,0-2,1006,2026-07-14T15:56:08.246Z,2026-07-14T15:56:10.628Z,2382,req_c25c386f142b4101866ff5d7891fe790,chatcmpl-E1ZmKctAn8xCGGmTh13jU6733IQah,,stop,144,166,310,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"mountain, spoon, joy, thunder, carpet, cactus, shadow, puzzle, candle, ocean",ok,10,mountain,spoon,joy,thunder,carpet,cactus,shadow,puzzle,candle,ocean,,git:f54bdca
,o3,o3-2025-04-16,o3-2025-04-16,openai,https://api.openai.com/v1,collect_2026_midpoint,Western,Yes,2025,1.0,1.0,0-2,1007,2026-07-14T15:56:10.879Z,2026-07-14T15:56:13.989Z,3110,req_6e32a1b9bc774bcbb88a7581c90d2b15,chatcmpl-E1ZmNYmBzbEXgSlLRfcW6IO2I66Bt,,stop,144,230,374,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"spoon, elephant, cloud, justice, bicycle, melody, sand, thunder, candle, dream",ok,10,spoon,elephant,cloud,justice,bicycle,melody,sand,thunder,candle,dream,,git:f54bdca
