model,provider,api_model_id,release_date,date_precision,source,api_verified
GPT-3.5-Turbo,openai,gpt-3.5-turbo,2023-02-28,exact,openai /v1/models created,yes
Llama-2-70b,meta,,2023-07-18,exact,published announcement / dataset,no
Ernie-4.0-8k,baidu,ernie-4.0-8k,2023-10-17,exact,published announcement / dataset,no
GPT-4.0-Turbo,openai,,2023-11-06,exact,published announcement / dataset,no
Moonshot-v1-8k,moonshot,moonshot-v1-8k,2024-02-01,exact,published announcement / dataset,no
Moonshot-v1-128k,moonshot,moonshot-v1-128k,2024-02-01,exact,published announcement / dataset,no
Claude-3-Opus,anthropic,,2024-03-04,exact,published announcement / dataset,no
Claude-3-Haiku,anthropic,,2024-03-13,exact,published announcement / dataset,no
DeepSeek-Chat,deepseek,,2024-05-06,exact,published announcement / dataset,no
Claude-3.5-Sonnet,anthropic,claude-3.5-sonnet,2024-06-20,exact,published announcement / dataset,no
GPT-4o,openai,gpt-4o-2024-08-06,2024-08-04,exact,openai /v1/models created,yes
DeepSeek-R1,deepseek,deepseek-r1,2025-01-20,exact,published announcement / dataset,no
Qwen-Turbo,qwen,qwen-turbo,2025-02-01,exact,published announcement / dataset,no
Llama4-Scout,meta,,2025-04-05,exact,published announcement / dataset,no
Llama4-Maverick,meta,,2025-04-05,exact,published announcement / dataset,no
o4-mini,openai,o4-mini-2025-04-16,2025-04-08,exact,openai /v1/models created,yes
GPT-4.1,openai,gpt-4.1-2025-04-14,2025-04-10,exact,openai /v1/models created,yes
GPT-4.1-mini,openai,gpt-4.1-mini-2025-04-14,2025-04-10,exact,openai /v1/models created,yes
GPT-4.1-nano,openai,gpt-4.1-nano-2025-04-14,2025-04-10,exact,openai /v1/models created,yes
Claude-Sonnet-4,anthropic,,2025-05-22,exact,published announcement / dataset,no
Kimi-K2,moonshot,moonshot-v1-32k,2025-07-11,exact,published announcement / dataset,no
Qwen3-235B-Instruct,qwen,qwen3-235b-a22b-instruct-2507,2025-07-21,exact,published announcement / dataset,no
GPT-5,openai,gpt-5-2025-08-07,2025-08-01,exact,openai /v1/models created,yes
GPT-5-mini,openai,gpt-5-mini-2025-08-07,2025-08-05,exact,openai /v1/models created,yes
Claude-Opus-4.1,anthropic,claude-opus-4-1-20250805,2025-08-05,exact,anthropic /v1/models created_at,yes
Grok-Code-Fast,xai,grok-code-fast,2025-08-28,exact,published announcement / dataset,no
Qwen-Max,qwen,qwen-max,2025-09-13,approx,published announcement / dataset,no
Qwen-Plus,qwen,qwen-plus,2025-09-22,approx,published announcement / dataset,no
Claude-Sonnet-4.5,anthropic,claude-sonnet-4-5-20250929,2025-09-29,exact,anthropic /v1/models created_at,yes
MiniMax-M2.5,minimax,minimax-m2.5,2025-10-11,approx,published announcement / dataset,no
Claude-Haiku-4.5,anthropic,claude-haiku-4-5-20251001,2025-10-15,exact,anthropic /v1/models created_at,yes
GPT-5.1,openai,gpt-5.1-2025-11-13,2025-11-10,exact,openai /v1/models created,yes
Claude-Opus-4.5,anthropic,claude-opus-4-5-20251101,2025-11-24,exact,anthropic /v1/models created_at,yes
DeepSeek-V3.2,deepseek,deepseek-v3.2,2025-12-01,exact,published announcement / dataset,no
MiniMax-M2.7,minimax,minimax-m2.7,2025-12-04,approx,published announcement / dataset,no
Qwen3.7-Max,qwen,qwen3.7-max,2025-12-04,approx,published announcement / dataset,no
GPT-5.2,openai,gpt-5.2-2025-12-11,2025-12-09,exact,openai /v1/models created,yes
Kimi-K2.5,moonshot,kimi-k2.5,2025-12-16,approx,published announcement / dataset,no
MiniMax-M3,minimax,minimax-m3,2025-12-16,approx,published announcement / dataset,no
Hunyuan-Hy3,tencent,hy3,2026-01-23,approx,published announcement / dataset,no
Qwen3.5-Plus,qwen,qwen3.5-plus,2026-01-23,approx,published announcement / dataset,no
DeepSeek-V4-Pro,deepseek,deepseek-v4-pro,2026-02-10,approx,published announcement / dataset,no
DeepSeek-V4-Flash-TH,deepseek,deepseek-v4-flash,2026-02-10,approx,published announcement / dataset,no
Kimi-K2.6,moonshot,kimi-k2.6,2026-02-11,approx,published announcement / dataset,no
Claude-Sonnet-4.6,anthropic,claude-sonnet-4-6,2026-02-17,exact,anthropic /v1/models created_at,yes
DeepSeek-V4-Flash,deepseek,deepseek-v4-flash,2026-02-18,approx,published announcement / dataset,no
GPT-5.4,openai,gpt-5.4-2026-03-05,2026-03-04,exact,openai /v1/models created,yes
Grok-4.20-nonreason,xai,grok-4.20-0309-non-reasoning,2026-03-09,exact,xai /v1/models created,yes
Grok-4.20-reason,xai,grok-4.20-0309-reasoning,2026-03-09,exact,xai /v1/models created,yes
Qwen4-Max,qwen,qwen3-max-2026-01-23,2026-03-23,approx,published announcement / dataset,no
Claude-Opus-4.7,anthropic,claude-opus-4-7,2026-04-14,exact,anthropic /v1/models created_at,yes
Grok-4.3,xai,grok-4.3,2026-04-17,exact,xai /v1/models created,yes
GPT-5.5,openai,gpt-5.5-2026-04-23,2026-04-22,exact,openai /v1/models created,yes
Claude-Fable-5,anthropic,claude-fable-5,2026-06-07,exact,anthropic /v1/models created_at,yes
GPT-5.6-Sol,openai,gpt-5.6-sol,2026-06-23,exact,openai /v1/models created,yes
Claude-Sonnet-5,anthropic,claude-sonnet-5,2026-06-29,exact,anthropic /v1/models created_at,yes
Grok-4.5,xai,grok-4.5,2026-06-29,exact,xai /v1/models created,yes
Kimi-K3,moonshot,kimi-k3,2026-07-16,exact,published announcement / dataset,no
Claude-Opus-5,anthropic,claude-opus-5,2026-07-24,exact,anthropic /v1/models created_at,yes
