record_id,data_generation,model_name,provider,batch,temperature,region,reasoning,model_year,parse_status,source_file,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,raw_response_text
cnall_000001,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,chair,melody,freedom,ocean,dream,courage,book,
cnall_000002,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pillow,telescope,whisper,zephyr,canvas,harmony,
cnall_000003,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,serenity,telescope,umbrella,whisper,zephyr,
cnall_000004,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,justice,window,melody,courage,feather,cloud,laughter,mirror,dream,
cnall_000005,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,quilt,sunlight,umbrella,whisper,zephyr,
cnall_000006,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,melody,justice,cloud,courage,table,dream,freedom,flower,time,
cnall_000007,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,mirror,pebble,silence,sunlight,texture,whisper,
cnall_000008,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,book,dream,flower,idea,melody,shadow,table,wind,zest,
cnall_000009,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pencil,serenity,telescope,velocity,waterfall,zephyr,
cnall_000010,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,book,cloud,dream,flower,justice,melody,rhythm,silence,universe,
cnall_000011,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,book,cloud,dream,freedom,harmony,journey,laughter,melody,wisdom,
cnall_000012,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,melody,freedom,chair,justice,cloud,rhythm,truth,flower,dream,
cnall_000013,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,table,freedom,feather,courage,mirror,river,
cnall_000014,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pencil,river,shadow,time,window,zest,
cnall_000015,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,melody,justice,cloud,freedom,pencil,harmony,emotion,window,courage,
cnall_000016,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,spoon,sunset,truth,whisper,zephyr,zest,
cnall_000017,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,sunset,triangle,whisper,zephyr,zucchini,
cnall_000018,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,chair,idea,river,cloud,music,justice,time,flower,book,
cnall_000019,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,cloud,justice,melody,pebble,suitcase,tranquility,umbrella,whisper,zephyr,
cnall_000020,legacy,Claude-3-Haiku,,old_2024,0.5,,,,unknown,average_machine_raw.csv,apple,laughter,book,justice,cloud,melody,chair,freedom,flower,knowledge,
