record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
cn_000001,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:01:23.927Z,2026-07-15T04:01:29.368Z,5440,req_011Cd3BCQASXHhR8VVMo2gHT,msg_011Cd3BCQx4urewxFzrjfUv4,,end_turn,205,90,295,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, elephant, whisper, volcano, bicycle, hunger, algebra, seaweed",ok,10,cloud,justice,spoon,elephant,whisper,volcano,bicycle,hunger,algebra,seaweed,,git:3b69735
cn_000002,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:01:29.369Z,2026-07-15T04:01:35.083Z,5714,req_011Cd3BCnuR4YrsfUed5eXqz,msg_011Cd3BCoabWRFVYdHPbedKC,,end_turn,205,98,303,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, freedom, spoon, volcano, whisper, jellyfish, algebra, bicycle, honey, grief",ok,10,cloud,freedom,spoon,volcano,whisper,jellyfish,algebra,bicycle,honey,grief,,git:3b69735
cn_000003,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:01:35.083Z,2026-07-15T04:01:42.185Z,7102,req_011Cd3BDDN5ij6wQzj2kJVyB,msg_011Cd3BDDdhvZ2rRSVTbTmLd,,end_turn,205,96,301,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, volcano, whisper, bicycle, jealousy, mushroom, algebra, tide",ok,10,cloud,justice,spoon,volcano,whisper,bicycle,jealousy,mushroom,algebra,tide,,git:3b69735
cn_000004,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:01:42.593Z,2026-07-15T04:01:49.386Z,6792,req_011Cd3BDmfnC1aLdjdbU7vsp,msg_011Cd3BDpZuftKb6dhNPJiU7,,end_turn,205,95,300,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, volcano, whisper, bicycle, jealousy, mushroom, ocean, melody",ok,10,cloud,justice,spoon,volcano,whisper,bicycle,jealousy,mushroom,ocean,melody,,git:3b69735
cn_000005,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:01:49.386Z,2026-07-15T04:01:54.694Z,5307,req_011Cd3BEGXrZ9foqrweHwkJ7,msg_011Cd3BEGmkDfsMZDEop8MBU,,end_turn,205,95,300,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, hammer, giraffe, melody, vinegar, sadness, volcano, ankle, decade",ok,10,cloud,justice,hammer,giraffe,melody,vinegar,sadness,volcano,ankle,decade,,git:3b69735
cn_000006,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:01:54.694Z,2026-07-15T04:01:59.351Z,4656,req_011Cd3BEfCNYaAKQFXwqnC74,msg_011Cd3BEfYD3AVcpVxbajHjg,,end_turn,205,84,289,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, whale, melody, bicycle, hunger, volcano, whisper, algebra",ok,10,cloud,justice,spoon,whale,melody,bicycle,hunger,volcano,whisper,algebra,,git:3b69735
cn_000007,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:01:59.351Z,2026-07-15T04:02:04.295Z,4943,req_011Cd3BF1EdoTwy8fcrgk8eV,msg_011Cd3BF1XjzcMKZXZ5CosZU,,end_turn,205,81,286,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, volcano, whisper, bicycle, jellyfish, eternity, thread, laughter",ok,10,cloud,justice,spoon,volcano,whisper,bicycle,jellyfish,eternity,thread,laughter,,git:3b69735
cn_000008,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:02:04.473Z,2026-07-15T04:02:09.889Z,5416,req_011Cd3BFPLfTVb5s53Q7svar,msg_011Cd3BFPb3gERSe5v7dRJYn,,end_turn,205,97,302,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, hammer, freedom, octopus, whisper, vinegar, galaxy, ankle, tuesday, algebra",ok,10,cloud,hammer,freedom,octopus,whisper,vinegar,galaxy,ankle,tuesday,algebra,,git:3b69735
cn_000009,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:02:09.889Z,2026-07-15T04:02:14.943Z,5053,req_011Cd3BFnJ3LdgqVCb24xMwT,msg_011Cd3BFo2C7QQVM6E2EuYhN,,end_turn,205,90,295,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, elephant, whisper, volcano, sadness, bicycle, molecule, festival",ok,10,cloud,justice,spoon,elephant,whisper,volcano,sadness,bicycle,molecule,festival,,git:3b69735
cn_000010,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:02:14.943Z,2026-07-15T04:02:19.939Z,4995,req_011Cd3BG9sp8pJ7KKiSq25af,msg_011Cd3BGASoBCTSWdYk5A6wB,,end_turn,205,93,298,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, freedom, spoon, elephant, music, volcano, sadness, bicycle, bread, tomorrow",ok,10,cloud,freedom,spoon,elephant,music,volcano,sadness,bicycle,bread,tomorrow,,git:3b69735
cn_000011,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:02:20.428Z,2026-07-15T04:02:25.026Z,4597,req_011Cd3BGZCmLZzBmJYoHFKgD,msg_011Cd3BGZbLUXbWTvVZCbsWZ,,end_turn,205,93,298,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, spoon, justice, elephant, whisper, volcano, bicycle, sadness, bread, electricity",ok,10,cloud,spoon,justice,elephant,whisper,volcano,bicycle,sadness,bread,electricity,,git:3b69735
cn_000012,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:02:25.124Z,2026-07-15T04:02:31.163Z,6038,req_011Cd3BGuJFd4ug9oNd4HzfE,msg_011Cd3BGvG3KA3vwbuVviEpK,,end_turn,205,95,300,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, elephant, whisper, bicycle, sadness, volcano, bread, thursday",ok,10,cloud,justice,spoon,elephant,whisper,bicycle,sadness,volcano,bread,thursday,,git:3b69735
cn_000013,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:02:31.436Z,2026-07-15T04:02:37.038Z,5602,req_011Cd3BHNLwK8UivukttUqYY,msg_011Cd3BHNqhwkyUv7H1nA2Yc,,end_turn,205,88,293,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, volcano, whisper, ant, algebra, sadness, bicycle, yeast",ok,10,cloud,justice,spoon,volcano,whisper,ant,algebra,sadness,bicycle,yeast,,git:3b69735
cn_000014,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:02:37.039Z,2026-07-15T04:02:44.067Z,7028,req_011Cd3BHnE8BqQhwktpMxfQg,msg_011Cd3BHnWFJJE2R99Q96bBw,,end_turn,205,56,261,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, volcano, whale, melody, bacteria, sadness, wheel, forest",ok,10,cloud,justice,spoon,volcano,whale,melody,bacteria,sadness,wheel,forest,,git:3b69735
cn_000015,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:02:44.068Z,2026-07-15T04:02:50.658Z,6590,req_011Cd3BJJwKy3TNCyWqe5r1M,msg_011Cd3BJKAigKLPjSpTuuoDe,,end_turn,205,83,288,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, volcano, whisper, bacteria, sadness, algebra, doorknob, galaxy",ok,10,cloud,justice,spoon,volcano,whisper,bacteria,sadness,algebra,doorknob,galaxy,,git:3b69735
cn_000016,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:02:50.658Z,2026-07-15T04:02:56.058Z,5399,req_011Cd3BJnex6Dzp3oeDDjEmo,msg_011Cd3BJntbAFRnctpscw73G,,end_turn,205,95,300,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, volcano, laughter, bacteria, hammer, infinity, jellyfish, wedding",ok,10,cloud,justice,spoon,volcano,laughter,bacteria,hammer,infinity,jellyfish,wedding,,git:3b69735
cn_000017,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2026,0.5,1.0,0-1,,2026-07-15T04:02:56.058Z,2026-07-15T04:03:01.998Z,5939,req_011Cd3BKBe4cpVuKQKmFmyL3,msg_011Cd3BKBshkGSizuGyp7W7L,,end_turn,205,91,296,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, volcano, whisper, ant, jealousy, bread, gravity, dance",ok,10,cloud,justice,spoon,volcano,whisper,ant,jealousy,bread,gravity,dance,,git:3b69735
