model_name,provider,intelligence,region,reasoning,release_date,date_precision,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,between_unit_posaware
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,happiness,mountain,spoon,galaxy,book,laughter,bicycle,rainforest,81.452179,76.420339
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,book,happiness,chair,ocean,computer,love,mountain,car,tree,74.513596,75.166920
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,umbrella,happiness,mountain,book,pineapple,computer,chair,love,music,80.932442,76.990693
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,apple,happiness,ocean,hammer,dream,tree,book,car,mountain,75.059494,75.452509
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,ocean,bicycle,book,happiness,tree,hammer,cloud,76.547966,74.812447
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,happiness,mountain,book,clock,water,key,tree,music,79.301628,74.739333
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,book,chair,happiness,banana,computer,friendship,mountain,umbrella,music,ocean,78.907516,77.014585
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,tree,book,love,chair,cloud,hammer,banana,honesty,computer,freedom,78.687927,76.025464
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,flower,chair,happiness,mountain,computer,book,love,chocolate,car,tree,75.515297,74.987906
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,ocean,chair,happiness,guitar,pineapple,book,star,bicycle,freedom,mountain,81.127602,77.511698
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,sun,chair,happiness,book,mountain,flower,coffee,umbrella,music,bicycle,74.053040,74.210077
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,mountain,book,cloud,happiness,bicycle,beach,music,76.076202,74.554185
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,flower,book,happiness,chair,mountain,telephone,cookie,music,sunshine,diamond,81.009377,77.551839
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,dog,happiness,ocean,book,umbrella,mountain,computer,laughter,tree,76.194626,76.073722
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,ocean,book,sun,happiness,tree,music,butterfly,73.208954,73.754519
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,happiness,mountain,apple,book,freedom,umbrella,laughter,ocean,76.401505,75.429132
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,apple,happiness,mountain,book,umbrella,freedom,music,cloud,bicycle,76.932770,77.017030
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,moon,happiness,chair,water,book,music,sunshine,mountain,love,76.439217,74.824483
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,car,happiness,tree,book,sun,chair,music,cloud,dog,75.886772,74.595179
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,chair,happiness,tree,computer,ocean,love,book,car,music,73.881828,73.706237
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,dog,happiness,airplane,tree,book,music,pizza,ocean,computer,76.970467,76.447372
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,apple,chair,love,ocean,hat,music,cloud,book,freedom,star,75.969406,75.018591
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,tree,chair,love,ocean,computer,happiness,book,elephant,sky,music,74.915726,74.703668
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,book,happiness,tree,car,ocean,chair,love,mountain,clock,75.873444,75.583856
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,apple,love,book,bicycle,cloud,happiness,tree,hammer,ocean,77.788994,76.959471
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,book,chair,love,tree,car,happiness,ocean,phone,music,diamond,74.410980,75.788930
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,sky,book,love,chair,apple,freedom,water,clock,happiness,74.941780,75.449661
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,apple,chair,love,book,sky,hammer,happiness,tree,ocean,76.942970,75.842961
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,dog,house,love,tree,computer,banana,happiness,book,ocean,mountain,71.171982,74.480624
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,mountain,love,book,car,music,tree,happiness,computer,ocean,74.023460,75.391368
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,flower,chair,happiness,book,mountain,sandwich,computer,umbrella,music,coffee,80.019539,76.110109
GPT-3.5-Turbo,openai,all-rounder,,,2023-02-28,exact,chair,cloud,book,apple,happiness,hammer,mountain,music,ocean,bicycle,80.609856,77.802909
