index,provider,model,data_source,model_year,collected_at,temperature,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,dat_score
0fa98c76a035a3d3cb77ff26d2584d4c.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:53:23,midpoint,dog,chair,happiness,mountain,spoon,galaxy,book,laughter,bicycle,rainforest,
ae612c49973002de90e7ec8ab97b8026.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:51:22,midpoint,dog,book,happiness,chair,ocean,computer,love,mountain,car,tree,
97e04d2820bcf9663fcd780f1adeea52.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:49:03,midpoint,dog,umbrella,happiness,mountain,book,pineapple,computer,chair,love,music,
20b471529c82e10fb20f7dbccd5fad1b.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:39:01,midpoint,chair,apple,happiness,ocean,hammer,dream,tree,book,car,mountain,
4c1575522fdd27db9ad643497cd0f4a1.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:41:19,midpoint,apple,chair,love,ocean,bicycle,book,happiness,tree,hammer,cloud,
302366e48ff57eb61f675360663d54b5.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-17T10:50:47,midpoint,apple,chair,happiness,mountain,book,clock,water,key,tree,music,
abf0bb74991b93c85fb8ac23c480064b.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-18T20:42:12,midpoint,book,chair,happiness,banana,computer,friendship,mountain,umbrella,music,ocean,
a87f4ce4a3ff2292a55ff0dc05beb083.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-20T17:25:17,midpoint,tree,book,love,chair,cloud,hammer,banana,honesty,computer,freedom,
e220362ec9bd9fb437816d0cbd40f4ee.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:24:48,midpoint,flower,chair,happiness,mountain,computer,book,love,chocolate,car,tree,
19320a760e6d9b10b2333b987d802ecf.pickle,openai,GPT-3.5-Turbo,NHB_2024,2022,2024-06-19T07:25:05,midpoint,ocean,chair,happiness,guitar,pineapple,book,star,bicycle,freedom,mountain,
