batch,model_name,n_at_temp_0.5,need_to_1000
new_2025,Grok-Code-Fast,478,522
new_2025,GPT-5-Mini,500,500
new_2025,Llama4-Maverick,514,486
new_2025,Claude-Opus-4.1,515,485
new_2025,Claude-Sonnet-4,515,485
new_2025,Deepseek-Chat,515,485
new_2025,Kimi-k2,515,485
new_2025,Llama4-Scout,515,485
new_2025,Qwen-Max,515,485
new_2025,Qwen-Turbo,515,485
new_2025,GPT-5,550,450
old_2024,Claude-3-Haiku,750,250
old_2024,Claude-3-Opus,750,250
old_2024,Claude-3.5-Sonnet,750,250
old_2024,DeepSeek-R1,750,250
old_2024,Ernie-4.0-8k,750,250
old_2024,GPT-3.5-Turbo,750,250
old_2024,GPT-4.0-Turbo,750,250
old_2024,GPT-4o,750,250
old_2024,Llama-2-70b,750,250
