record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,DeepSeek-R1,deepseek-r1,deepseek-r1,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_midpoint,Eastern,Yes,2025,1.0,1.0,0-2,1000,2026-07-14T15:38:09.700Z,2026-07-14T15:38:32.125Z,22425,f4113a4e-2f3b-9c7e-81b4-1fe9c99b4772,chatcmpl-f4113a4e-2f3b-9c7e-81b4-1fe9c99b4772,,stop,143,530,673,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"water,mountain,love,mirror,freedom,flight,cloud,justice,hour,star",ok,10,water,mountain,love,mirror,freedom,flight,cloud,justice,hour,star,,git:a749760
,Qwen-Max,qwen-max,qwen-max,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_midpoint,Eastern,No,2025,1.0,1.0,0-2,1000,2026-07-14T15:38:37.981Z,2026-07-14T15:38:40.230Z,2248,1fe681ff-a4a3-94ec-b211-4174542017b8,chatcmpl-1fe681ff-a4a3-94ec-b211-4174542017b8,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, happiness, chair, ocean, music, pencil, fire, butterfly, freedom",ok,10,apple,mountain,happiness,chair,ocean,music,pencil,fire,butterfly,freedom,,git:a749760
,Qwen-Turbo,qwen-turbo,qwen-turbo,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_midpoint,Eastern,No,2025,1.0,1.0,0-2,1000,2026-07-14T15:38:40.540Z,2026-07-14T15:38:42.534Z,1994,5322c7b5-79f6-908b-9661-4a9d57a671fb,chatcmpl-5322c7b5-79f6-908b-9661-4a9d57a671fb,,stop,152,19,171,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sky, feather, clock, mountain, idea, flame, mirror, chair, ocean, star",ok,10,sky,feather,clock,mountain,idea,flame,mirror,chair,ocean,star,,git:a749760
,DeepSeek-V3.2,deepseek-v3.2,deepseek-v3.2,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_midpoint,Eastern,Yes,2025,1.0,1.0,0-2,1000,2026-07-14T15:39:21.975Z,2026-07-14T15:39:23.970Z,1994,38277402-4b8c-9ae6-937f-85de5b4b2d93,chatcmpl-38277402-4b8c-9ae6-937f-85de5b4b2d93,,stop,144,20,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"emotion, galaxy, pencil, democracy, cloud, melody, triangle, freedom, glacier, laughter",ok,10,emotion,galaxy,pencil,democracy,cloud,melody,triangle,freedom,glacier,laughter,,git:a749760
,Qwen3.7-Max,qwen3.7-max,qwen3.7-max,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_midpoint,Eastern,Yes,2025,1.0,1.0,0-2,1000,2026-07-14T15:39:24.279Z,2026-07-14T15:40:05.693Z,41413,39adac5d-08bb-9235-983b-db8e8f72eb74,chatcmpl-39adac5d-08bb-9235-983b-db8e8f72eb74,,stop,156,2217,2373,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"memory, fire, spoon, leaf, clay, circle, hammer, shoe, bread, bicycle",ok,10,memory,fire,spoon,leaf,clay,circle,hammer,shoe,bread,bicycle,,git:a749760
,Qwen4-Max,qwen3-max-2026-01-23,qwen3-max-2026-01-23,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_midpoint,Eastern,Yes,2026,1.0,1.0,0-2,1000,2026-07-14T15:41:43.664Z,2026-07-14T15:41:46.555Z,2891,73192880-022a-9d0c-b9af-3b33bb9f5a68,chatcmpl-73192880-022a-9d0c-b9af-3b33bb9f5a68,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"water, justice, hammer, cloud, music, bread, freedom, shadow, tree, laughter",ok,10,water,justice,hammer,cloud,music,bread,freedom,shadow,tree,laughter,,git:a749760
,Kimi-K2.6,kimi-k2.6,kimi-k2.6,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_midpoint,Eastern,Yes,2026,1.0,1.0,0-2,1000,2026-07-14T15:41:46.865Z,2026-07-14T15:41:49.609Z,2743,9d06975e-e950-95ab-95c1-dc835370279e,chatcmpl-9d06975e-e950-95ab-95c1-dc835370279e,,stop,153,21,174,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sandwich, galaxy, honesty, thunder, pillow, democracy, shadow, volcano, melody, distance",ok,10,sandwich,galaxy,honesty,thunder,pillow,democracy,shadow,volcano,melody,distance,,git:a749760
,DeepSeek-V3.2,deepseek-v3.2,deepseek-v3.2,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_midpoint,Eastern,No,2025,1.0,1.0,0-2,1000,2026-07-14T15:42:52.358Z,2026-07-14T15:42:54.698Z,2339,8bae102d-a864-99be-a00f-5791373d0e45,chatcmpl-8bae102d-a864-99be-a00f-5791373d0e45,,stop,144,20,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"emotion, galaxy, pencil, democracy, cloud, melody, triangle, freedom, glacier, laughter",ok,10,emotion,galaxy,pencil,democracy,cloud,melody,triangle,freedom,glacier,laughter,,git:a749760
,Kimi-K2.5,kimi-k2.5,kimi-k2.5,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_midpoint,Eastern,No,2025,1.0,1.0,0-2,1000,2026-07-14T15:42:56.969Z,2026-07-14T15:42:59.414Z,2444,6f7f9855-6b9d-9c5e-9e5f-16b27293b2a2,chatcmpl-6f7f9855-6b9d-9c5e-9e5f-16b27293b2a2,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"shadow, spoon, thunder, mirror, gravity, whistle, shadow, feather, echo, compass",ok,10,shadow,spoon,thunder,mirror,gravity,whistle,shadow,feather,echo,compass,,git:a749760
,Qwen3-235B-Instruct,qwen3-235b-a22b-instruct-2507,qwen3-235b-a22b-instruct-2507,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_midpoint,Eastern,No,2025,1.0,1.0,0-2,1000,2026-07-14T15:42:59.724Z,2026-07-14T15:43:01.019Z,1294,6ee1f84f-7e42-9e89-a3be-6945074efb6c,chatcmpl-6ee1f84f-7e42-9e89-a3be-6945074efb6c,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, ocean, laughter, thunder, bread, shadow, mountain, whisper, flame, mirror",ok,10,chair,ocean,laughter,thunder,bread,shadow,mountain,whisper,flame,mirror,,git:a749760
