record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,Qwen-Plus,qwen-plus,qwen-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n100,Eastern,No,2025,1.0,1.0,0-2,1000,2026-07-15T08:29:06.598Z,2026-07-15T08:29:08.299Z,1701,5979bbae-19d5-98ba-9172-7b2fa8ab28dc,chatcmpl-5979bbae-19d5-98ba-9172-7b2fa8ab28dc,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, silence, mountain, laughter, spoon, justice, cloud, bicycle, fear, ocean",ok,10,apple,silence,mountain,laughter,spoon,justice,cloud,bicycle,fear,ocean,,git:72d6a60
,Qwen3-235B-Instruct,qwen3-235b-a22b-instruct-2507,qwen3-235b-a22b-instruct-2507,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n100,Eastern,No,2025,1.0,1.0,0-2,1000,2026-07-15T08:29:07.099Z,2026-07-15T08:29:09.682Z,2583,e89f08dc-ac9d-9fb4-a14a-8023941c7c05,chatcmpl-e89f08dc-ac9d-9fb4-a14a-8023941c7c05,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, ocean, laughter, thunder, bread, shadow, mirror, silence, hammer, rainbow",ok,10,chair,ocean,laughter,thunder,bread,shadow,mirror,silence,hammer,rainbow,,git:72d6a60
,Qwen3-235B-Instruct,qwen3-235b-a22b-instruct-2507,qwen3-235b-a22b-instruct-2507,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n100,Eastern,No,2025,1.0,1.0,0-2,1001,2026-07-15T08:29:09.683Z,2026-07-15T08:29:11.146Z,1463,3f07cd1b-0ca5-91f5-973b-03ce1d88b190,chatcmpl-3f07cd1b-0ca5-91f5-973b-03ce1d88b190,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, laughter, river, chair, storm, idea, bread, shadow, clock",ok,10,apple,mountain,laughter,river,chair,storm,idea,bread,shadow,clock,,git:72d6a60
,Qwen-Plus,qwen-plus,qwen-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n100,Eastern,No,2025,1.0,1.0,0-2,1001,2026-07-15T08:29:08.300Z,2026-07-15T08:29:12.150Z,3850,ee6ac14c-4425-9bc8-9436-916cac872fa2,chatcmpl-ee6ac14c-4425-9bc8-9436-916cac872fa2,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, silence, hammer, ocean, justice, cloud, bicycle, laughter, mountain, thread",ok,10,apple,silence,hammer,ocean,justice,cloud,bicycle,laughter,mountain,thread,,git:72d6a60
,Qwen3-235B-Instruct,qwen3-235b-a22b-instruct-2507,qwen3-235b-a22b-instruct-2507,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n100,Eastern,No,2025,1.0,1.0,0-2,1002,2026-07-15T08:29:11.147Z,2026-07-15T08:29:13.221Z,2074,ec16be7b-c551-9486-9bff-4a46da57bd59,chatcmpl-ec16be7b-c551-9486-9bff-4a46da57bd59,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"tree, laughter, river, clock, cloud, book, shadow, fire, melody, stone",ok,10,tree,laughter,river,clock,cloud,book,shadow,fire,melody,stone,,git:72d6a60
,Qwen-Plus,qwen-plus,qwen-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n100,Eastern,No,2025,1.0,1.0,0-2,1002,2026-07-15T08:29:12.150Z,2026-07-15T08:29:13.591Z,1441,e284a862-4d82-9a48-8565-609371e132b9,chatcmpl-e284a862-4d82-9a48-8565-609371e132b9,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, silence, mountain, laughter, chair, ocean, idea, fire, clock, shadow",ok,10,apple,silence,mountain,laughter,chair,ocean,idea,fire,clock,shadow,,git:72d6a60
,Qwen3-235B-Instruct,qwen3-235b-a22b-instruct-2507,qwen3-235b-a22b-instruct-2507,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n100,Eastern,No,2025,1.0,1.0,0-2,1003,2026-07-15T08:29:13.222Z,2026-07-15T08:29:16.446Z,3224,3a545b75-35c1-9d1c-b388-f1d0e24d4b51,chatcmpl-3a545b75-35c1-9d1c-b388-f1d0e24d4b51,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"tree, ocean, laughter, rock, idea, wind, chair, darkness, flower, music",ok,10,tree,ocean,laughter,rock,idea,wind,chair,darkness,flower,music,,git:72d6a60
,Qwen-Plus,qwen-plus,qwen-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n100,Eastern,No,2025,1.0,1.0,0-2,1003,2026-07-15T08:29:13.722Z,2026-07-15T08:29:16.550Z,2828,ac176637-4d9f-9ef7-bea6-0e2c3abdfea9,chatcmpl-ac176637-4d9f-9ef7-bea6-0e2c3abdfea9,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, ocean, laughter, chair, justice, cloud, bicycle, silence, mountain, honey",ok,10,apple,ocean,laughter,chair,justice,cloud,bicycle,silence,mountain,honey,,git:72d6a60
,Qwen3-235B-Instruct,qwen3-235b-a22b-instruct-2507,qwen3-235b-a22b-instruct-2507,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n100,Eastern,No,2025,1.0,1.0,0-2,1004,2026-07-15T08:29:16.447Z,2026-07-15T08:29:18.153Z,1706,0f05103d-d757-9957-998a-7d5b9093ec1f,chatcmpl-0f05103d-d757-9957-998a-7d5b9093ec1f,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, water, dream, mountain, laughter, hammer, silence, flower, storm, cheese",ok,10,chair,water,dream,mountain,laughter,hammer,silence,flower,storm,cheese,,git:72d6a60
,Qwen-Plus,qwen-plus,qwen-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n100,Eastern,No,2025,1.0,1.0,0-2,1004,2026-07-15T08:29:16.947Z,2026-07-15T08:29:18.458Z,1510,030698a3-c252-9cdf-94e2-adad99b72562,chatcmpl-030698a3-c252-9cdf-94e2-adad99b72562,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sky, spoon, justice, fog, guitar, brick, laughter, ocean, ladder, silence",ok,10,sky,spoon,justice,fog,guitar,brick,laughter,ocean,ladder,silence,,git:72d6a60
