record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:22.787Z,2026-07-15T11:57:23.342Z,554,,afe46d48-2c88-9a58-88b9-bef088677810,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, freedom, mountain, laughter, ocean, justice, shadow, melody, diamond, silence",ok,10,apple,freedom,mountain,laughter,ocean,justice,shadow,melody,diamond,silence,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:23.343Z,2026-07-15T11:57:24.080Z,736,e361cb6d-7054-9bcb-b07a-50cb047f1dcc,e361cb6d-7054-9bcb-b07a-50cb047f1dcc,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"love, mountain, laughter, bread, silence, river, freedom, shadow, fire, dream",ok,10,love,mountain,laughter,bread,silence,river,freedom,shadow,fire,dream,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:24.080Z,2026-07-15T11:57:24.667Z,586,3e9ff7ca-3683-9b78-bace-58a6e3b1ecbd,3e9ff7ca-3683-9b78-bace-58a6e3b1ecbd,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"love, mountain, clock, whisper, freedom, apple, shadow, laughter, ocean, silence",ok,10,love,mountain,clock,whisper,freedom,apple,shadow,laughter,ocean,silence,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:24.667Z,2026-07-15T11:57:25.305Z,638,057ebea6-fb0a-953d-9749-fe36454fdd67,057ebea6-fb0a-953d-9749-fe36454fdd67,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"rock, emotion, bicycle, silence, mountain, freedom, candle, laughter, river, puzzle",ok,10,rock,emotion,bicycle,silence,mountain,freedom,candle,laughter,river,puzzle,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:25.306Z,2026-07-15T11:57:25.800Z,494,65ba531c-80f7-9df4-bfba-e242ce682b4f,65ba531c-80f7-9df4-bfba-e242ce682b4f,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"love, mountain, clock, freedom, apple, river, laughter, chair, silence, fire",ok,10,love,mountain,clock,freedom,apple,river,laughter,chair,silence,fire,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:25.806Z,2026-07-15T11:57:26.362Z,555,1155bcd3-f319-9c0b-ac26-435ed528feb5,1155bcd3-f319-9c0b-ac26-435ed528feb5,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, laughter, mountain, freedom, river, silence, apple, justice, cloud, whisper",ok,10,chair,laughter,mountain,freedom,river,silence,apple,justice,cloud,whisper,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:26.362Z,2026-07-15T11:57:26.896Z,533,,141385e6-225b-90ce-a7fd-12d7ea59cd77,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, freedom, ocean, laughter, mountain, silence, apple, justice, shadow, melody",ok,10,chair,freedom,ocean,laughter,mountain,silence,apple,justice,shadow,melody,,git:fdc0106
,Grok-4.3,grok-4.3,grok-4.3,xai,https://api.x.ai/v1,collect_2026_n150,Western,Yes,2026,1.0,1.0,0-2,,2026-07-15T11:57:21.786Z,2026-07-15T11:57:27.112Z,5325,,63a0349d-41f5-9018-852b-6d8171bc88e4,fp_eb3c003fc66c14ed,stop,329,19,938,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, justice, cloud, bicycle, courage, river, chair, silence, hammer, dream",ok,10,apple,justice,cloud,bicycle,courage,river,chair,silence,hammer,dream,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:26.896Z,2026-07-15T11:57:27.531Z,635,9cd213e9-d70c-9673-908a-6c7624b1f77b,9cd213e9-d70c-9673-908a-6c7624b1f77b,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, happiness, cloud, justice, mountain, silence, river, freedom, apple, laughter",ok,10,chair,happiness,cloud,justice,mountain,silence,river,freedom,apple,laughter,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:27.897Z,2026-07-15T11:57:28.433Z,536,d3da51d0-7db4-91e3-b47b-3cf3165d48bc,d3da51d0-7db4-91e3-b47b-3cf3165d48bc,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"love, rock, idea, water, chair, fear, cloud, money, song, apple",ok,10,love,rock,idea,water,chair,fear,cloud,money,song,apple,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:28.433Z,2026-07-15T11:57:29.043Z,610,,e063d780-1332-9701-accb-fc31ee143c04,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, freedom, mountain, laughter, bicycle, silence, ocean, shadow, melody, thunder",ok,10,apple,freedom,mountain,laughter,bicycle,silence,ocean,shadow,melody,thunder,,git:fdc0106
,Grok-4.5,grok-4.5,grok-4.5,xai,https://api.x.ai/v1,collect_2026_n150,Western,Yes,2026,1.0,1.0,0-2,,2026-07-15T11:57:22.287Z,2026-07-15T11:57:29.838Z,7550,37f07545-9b2f-9e3e-af7b-f3f6eb77b247,37f07545-9b2f-9e3e-af7b-f3f6eb77b247,fp_a39489019fa99b6e,stop,347,19,1133,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, dog, house, freedom, thunder, knife, ocean, song, chair, dream",ok,10,apple,dog,house,freedom,thunder,knife,ocean,song,chair,dream,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:29.044Z,2026-07-15T11:57:29.855Z,810,4ed4d0ca-dbba-9ef1-9db4-8aef1dc55fe6,4ed4d0ca-dbba-9ef1-9db4-8aef1dc55fe6,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"rock, joy, cloud, knife, echo, bread, shadow, river, flame, silence",ok,10,rock,joy,cloud,knife,echo,bread,shadow,river,flame,silence,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:30.339Z,2026-07-15T11:57:30.828Z,489,45091145-5cb7-9a84-b9ec-ef58aaf80724,45091145-5cb7-9a84-b9ec-ef58aaf80724,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, freedom, mountain, laughter, apple, silence, river, memory, shadow, bicycle",ok,10,chair,freedom,mountain,laughter,apple,silence,river,memory,shadow,bicycle,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:30.839Z,2026-07-15T11:57:31.429Z,590,7d2e09f5-e4b0-95f5-9f8c-d28c169f46f8,7d2e09f5-e4b0-95f5-9f8c-d28c169f46f8,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"love, mountain, water, thought, bicycle, music, cloud, laughter, bread, silence",ok,10,love,mountain,water,thought,bicycle,music,cloud,laughter,bread,silence,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:31.430Z,2026-07-15T11:57:32.183Z,753,649169e4-2693-96f0-bee5-6fb79e0ae603,649169e4-2693-96f0-bee5-6fb79e0ae603,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, freedom, mountain, laughter, bicycle, justice, river, silence, shadow, happiness",ok,10,apple,freedom,mountain,laughter,bicycle,justice,river,silence,shadow,happiness,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:32.184Z,2026-07-15T11:57:32.767Z,583,c04b4d6d-b0a3-900a-9576-4c10e627bbe3,c04b4d6d-b0a3-900a-9576-4c10e627bbe3,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, freedom, mountain, laughter, ocean, justice, shadow, melody, forest, silence",ok,10,apple,freedom,mountain,laughter,ocean,justice,shadow,melody,forest,silence,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:32.767Z,2026-07-15T11:57:33.379Z,611,b673cb20-4f05-9a27-9c84-f1c6e0ef0418,b673cb20-4f05-9a27-9c84-f1c6e0ef0418,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, freedom, mountain, laughter, ocean, silence, bicycle, justice, shadow, melody",ok,10,apple,freedom,mountain,laughter,ocean,silence,bicycle,justice,shadow,melody,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:33.379Z,2026-07-15T11:57:34.104Z,724,77b503a4-0a09-9e2a-97df-7cb0e56bc8fc,77b503a4-0a09-9e2a-97df-7cb0e56bc8fc,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, freedom, mountain, laughter, river, silence, shadow, bicycle, dream, thunder",ok,10,apple,freedom,mountain,laughter,river,silence,shadow,bicycle,dream,thunder,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:34.104Z,2026-07-15T11:57:34.622Z,518,15f5e6c4-8d97-9035-9faf-d8a03fda9a52,15f5e6c4-8d97-9035-9faf-d8a03fda9a52,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, freedom, mountain, laughter, bicycle, silence, river, courage, candle, ocean",ok,10,apple,freedom,mountain,laughter,bicycle,silence,river,courage,candle,ocean,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:34.622Z,2026-07-15T11:57:35.247Z,624,2d845c2c-2069-93ec-a9a1-c8751e0860bd,2d845c2c-2069-93ec-a9a1-c8751e0860bd,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, freedom, mountain, laughter, river, silence, candle, hunger, shadow, bicycle",ok,10,apple,freedom,mountain,laughter,river,silence,candle,hunger,shadow,bicycle,,git:fdc0106
,Grok-4.3,grok-4.3,grok-4.3,xai,https://api.x.ai/v1,collect_2026_n150,Western,Yes,2026,1.0,1.0,0-2,,2026-07-15T11:57:27.396Z,2026-07-15T11:57:35.251Z,7854,98fd0d82-8f35-939e-8b9f-1b73bcda32bb,98fd0d82-8f35-939e-8b9f-1b73bcda32bb,fp_eb3c003fc66c14ed,stop,329,19,971,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"ocean, idea, pencil, love, forest, bicycle, time, sandwich, dream, hammer",ok,10,ocean,idea,pencil,love,forest,bicycle,time,sandwich,dream,hammer,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:35.247Z,2026-07-15T11:57:35.786Z,538,5f37c291-19f8-90c2-9b99-56043b02f07d,5f37c291-19f8-90c2-9b99-56043b02f07d,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, justice, mountain, laughter, bicycle, silence, ocean, friendship, shadow, melody",ok,10,apple,justice,mountain,laughter,bicycle,silence,ocean,friendship,shadow,melody,,git:fdc0106
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n150,Western,No,2026,1.0,1.0,0-2,,2026-07-15T11:57:36.249Z,2026-07-15T11:57:36.849Z,600,,dd4a4f99-5000-94f1-b236-5c37d349818e,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, freedom, mountain, laughter, apple, silence, river, anger, cloud, bicycle",ok,10,chair,freedom,mountain,laughter,apple,silence,river,anger,cloud,bicycle,,git:fdc0106
