record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,DeepSeek-V4-Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_n200,Eastern,Yes,2026,1.0,1.0,0-2,1000,2026-07-16T00:15:58.392Z,2026-07-16T00:16:02.588Z,4195,,b1c5e75a-e2fd-4cdf-b3d8-10fb5a886764,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,238,382,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, toothbrush, galaxy, sorrow, bicycle, democracy, sand, melody, mirror",ok,10,cloud,justice,toothbrush,galaxy,sorrow,bicycle,democracy,sand,melody,mirror,,git:676e6de
,DeepSeek-V4-Flash,deepseek-v4-flash,deepseek-v4-flash,deepseek,https://api.deepseek.com/v1,collect_2026_n200,Eastern,No,2026,1.0,1.0,0-2,1000,2026-07-16T00:15:57.891Z,2026-07-16T00:16:04.489Z,6598,,289c016f-d17b-40e3-b52f-72a8d9eb17bb,fp_8b330d02d0_prod0820_fp8_kvcache_20260402,stop,144,537,681,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, happiness, mountain, book, fire, tree, water, dream, stone, time",ok,10,cloud,happiness,mountain,book,fire,tree,water,dream,stone,time,,git:676e6de
,DeepSeek-V4-Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_n200,Eastern,Yes,2026,1.0,1.0,0-2,1001,2026-07-16T00:16:02.588Z,2026-07-16T00:16:12.187Z,9598,,ee76550c-60d3-4733-8e7d-041c3fefbb0d,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,516,660,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"galaxy, democracy, pillow, thunder, sadness, atom, laughter, brick, silence, apple",ok,10,galaxy,democracy,pillow,thunder,sadness,atom,laughter,brick,silence,apple,,git:676e6de
,DeepSeek-V4-Flash,deepseek-v4-flash,deepseek-v4-flash,deepseek,https://api.deepseek.com/v1,collect_2026_n200,Eastern,No,2026,1.0,1.0,0-2,1001,2026-07-16T00:16:04.490Z,2026-07-16T00:16:13.318Z,8828,,9ba3dcf0-791b-4e67-b0f6-91c19c277749,fp_8b330d02d0_prod0820_fp8_kvcache_20260402,stop,144,751,895,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, courage, stone, whisper, dream, fire, shoe, year, rose, milk",ok,10,cloud,courage,stone,whisper,dream,fire,shoe,year,rose,milk,,git:676e6de
,DeepSeek-V4-Flash,deepseek-v4-flash,deepseek-v4-flash,deepseek,https://api.deepseek.com/v1,collect_2026_n200,Eastern,No,2026,1.0,1.0,0-2,1002,2026-07-16T00:16:13.319Z,2026-07-16T00:16:16.690Z,3371,,6f2b1e66-7228-40ef-a40a-95b4e9b684de,fp_8b330d02d0_prod0820_fp8_kvcache_20260402,stop,144,250,394,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"stone, bird, love, chair, water, thought, tree, mountain, book, music",ok,10,stone,bird,love,chair,water,thought,tree,mountain,book,music,,git:676e6de
,DeepSeek-V4-Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_n200,Eastern,Yes,2026,1.0,1.0,0-2,1002,2026-07-16T00:16:12.187Z,2026-07-16T00:16:19.762Z,7574,,ce9c6fb2-e2f5-40d5-8b1c-fa72204b165d,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,460,604,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, thunder, finger, joy, stone, car, idea, mountain, pillow, music",ok,10,apple,thunder,finger,joy,stone,car,idea,mountain,pillow,music,,git:676e6de
,DeepSeek-V4-Flash,deepseek-v4-flash,deepseek-v4-flash,deepseek,https://api.deepseek.com/v1,collect_2026_n200,Eastern,No,2026,1.0,1.0,0-2,1003,2026-07-16T00:16:16.691Z,2026-07-16T00:16:22.550Z,5859,,a39d65b6-a976-4fad-8dff-826e7a87c157,fp_8b330d02d0_prod0820_fp8_kvcache_20260402,stop,144,429,573,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"time, stone, anger, cloud, spoon, river, freedom, button, star, tree",ok,10,time,stone,anger,cloud,spoon,river,freedom,button,star,tree,,git:676e6de
,DeepSeek-V4-Flash,deepseek-v4-flash,deepseek-v4-flash,deepseek,https://api.deepseek.com/v1,collect_2026_n200,Eastern,No,2026,1.0,1.0,0-2,1004,2026-07-16T00:22:32.106Z,2026-07-16T00:22:36.886Z,4779,,7bec17b5-6aef-46ba-80f9-ba7f3f6bf90b,fp_8b330d02d0_prod0820_fp8_kvcache_20260402,stop,144,371,515,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, courage, hammer, river, music, sand, breath, shadow, dream, bread",ok,10,cloud,courage,hammer,river,music,sand,breath,shadow,dream,bread,,git:676e6de
,DeepSeek-V4-Flash,deepseek-v4-flash,deepseek-v4-flash,deepseek,https://api.deepseek.com/v1,collect_2026_n200,Eastern,No,2026,1.0,1.0,0-2,1005,2026-07-16T00:22:36.887Z,2026-07-16T00:22:43.686Z,6799,,ac66bf01-fd76-4d79-b529-a08ee9a080d2,fp_8b330d02d0_prod0820_fp8_kvcache_20260402,stop,144,520,664,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"moon, chair, hunger, river, glass, music, wall, rain, foot, courage",ok,10,moon,chair,hunger,river,glass,music,wall,rain,foot,courage,,git:676e6de
,DeepSeek-V4-Flash,deepseek-v4-flash,deepseek-v4-flash,deepseek,https://api.deepseek.com/v1,collect_2026_n200,Eastern,No,2026,1.0,1.0,0-2,1006,2026-07-16T00:22:43.686Z,2026-07-16T00:22:45.593Z,1906,,1ac7e2e9-4321-4720-a568-ac78dc3c254f,fp_8b330d02d0_prod0820_fp8_kvcache_20260402,stop,144,109,253,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, hammer, joy, mountain, book, flame, river, thought, glass, shadow",ok,10,cloud,hammer,joy,mountain,book,flame,river,thought,glass,shadow,,git:676e6de
