record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,Claude-Haiku-4.5,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2025,0.5,0.5,0-1,,2026-07-15T03:58:52.512Z,2026-07-15T03:58:53.327Z,814,req_011Cd3B1DnYZHHajsae6f89Q,msg_011Cd3B1EDqWAZry9beHWsjC,,end_turn,161,24,185,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"telescope, butterfly, thunder, blanket, algorithm, volcano, whisper, bicycle, honey, shadow",ok,10,telescope,butterfly,thunder,blanket,algorithm,volcano,whisper,bicycle,honey,shadow,,git:3b69735
,Claude-Sonnet-4.5,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2025,0.5,0.5,0-1,,2026-07-15T03:58:52.012Z,2026-07-15T03:58:53.860Z,1848,req_011Cd3B1BdpNA4VSJbajeSf6,msg_011Cd3B1BsD4jFmqy7YFLVLm,,end_turn,161,22,183,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"water, freedom, hammer, cloud, music, triangle, elephant, justice, volcano, mirror",ok,10,water,freedom,hammer,cloud,music,triangle,elephant,justice,volcano,mirror,,git:3b69735
,Claude-Haiku-4.5,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2025,0.5,0.5,0-1,,2026-07-15T03:58:53.513Z,2026-07-15T03:58:54.287Z,773,req_011Cd3B1HxKiz6okcdKiRC8i,msg_011Cd3B1JBU4deBPjrwXyMQv,,end_turn,161,23,184,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"telescope, butterfly, thunder, marble, whisper, anchor, melody, shadow, brick, courage",ok,10,telescope,butterfly,thunder,marble,whisper,anchor,melody,shadow,brick,courage,,git:3b69735
,Claude-Opus-4.5,claude-opus-4-5-20251101,claude-opus-4-5-20251101,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,Yes,2025,0.5,0.5,0-1,,2026-07-15T03:58:53.013Z,2026-07-15T03:58:55.330Z,2317,req_011Cd3B1Fr4zggXYDgzJUsR3,msg_011Cd3B1G6D2YrXK8PeHM8KM,,end_turn,161,22,183,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, freedom, ocean, sandwich, anger, cloud, childhood, hammer, music, elephant",ok,10,chair,freedom,ocean,sandwich,anger,cloud,childhood,hammer,music,elephant,,git:3b69735
,Claude-Sonnet-4.5,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2025,0.5,0.5,0-1,,2026-07-15T03:58:54.013Z,2026-07-15T03:58:55.418Z,1404,req_011Cd3B1L83oMZetEZV97Szu,msg_011Cd3B1LR9wEzdeoSiNtp3R,,end_turn,161,22,183,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, hammer, justice, ocean, triangle, melody, volcano, mirror, friendship, butterfly",ok,10,cloud,hammer,justice,ocean,triangle,melody,volcano,mirror,friendship,butterfly,,git:3b69735
,Claude-Haiku-4.5,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2025,0.5,0.5,0-1,,2026-07-15T03:58:54.514Z,2026-07-15T03:58:55.466Z,952,req_011Cd3B1NEHzbnEDQoQh6qMN,msg_011Cd3B1NTCB3M4wYL6jhHzU,,end_turn,161,23,184,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"telescope, butterfly, music, stone, dream, ocean, fire, book, shadow, laughter",ok,10,telescope,butterfly,music,stone,dream,ocean,fire,book,shadow,laughter,,git:3b69735
,Claude-Sonnet-4.5,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2025,0.5,0.5,0-1,,2026-07-15T03:58:55.831Z,2026-07-15T03:58:57.221Z,1390,req_011Cd3B1TrtAi78NCWUxc6of,msg_011Cd3B1U6XENvagL2uJqohB,,end_turn,161,22,183,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, hammer, justice, ocean, butterfly, mathematics, volcano, friendship, mirror, bread",ok,10,cloud,hammer,justice,ocean,butterfly,mathematics,volcano,friendship,mirror,bread,,git:3b69735
,Claude-Haiku-4.5,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2025,0.5,0.5,0-1,,2026-07-15T03:58:56.332Z,2026-07-15T03:58:57.384Z,1051,req_011Cd3B1W55fXDMk2QtJMGCk,msg_011Cd3B1WNgvshCpUZccMvMs,,end_turn,161,23,184,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"telescope, butterfly, courage, sandwich, thunder, library, shadow, marble, whisper, anchor",ok,10,telescope,butterfly,courage,sandwich,thunder,library,shadow,marble,whisper,anchor,,git:3b69735
,Claude-Opus-4.5,claude-opus-4-5-20251101,claude-opus-4-5-20251101,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,Yes,2025,0.5,0.5,0-1,,2026-07-15T03:58:55.331Z,2026-07-15T03:58:57.533Z,2202,req_011Cd3B1RguVSNCyXbb2aSFg,msg_011Cd3B1RuoUYG1ypU1Q5LA7,,end_turn,161,24,185,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, freedom, ocean, sandwich, childhood, thunder, envelope, jealousy, butterfly, mountain",ok,10,chair,freedom,ocean,sandwich,childhood,thunder,envelope,jealousy,butterfly,mountain,,git:3b69735
,Claude-Haiku-4.5,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,anthropic,https://api.anthropic.com/v1,collect_2026_n50_run2,Western,No,2025,0.5,0.5,0-1,,2026-07-15T03:58:57.722Z,2026-07-15T03:58:58.529Z,807,req_011Cd3B1bvK7xkagKPRVz13U,msg_011Cd3B1c7DnkzaAxhZCJAC6,,end_turn,161,23,184,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"telescope, butterfly, music, stone, dream, ocean, fire, book, shadow, laughter",ok,10,telescope,butterfly,music,stone,dream,ocean,fire,book,shadow,laughter,,git:3b69735
