record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,Qwen-Plus,qwen-plus,qwen-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n50_run2,Eastern,No,2025,1.0,1.0,0-2,1000,2026-07-15T03:58:52.015Z,2026-07-15T03:58:53.552Z,1536,4a7a53f1-e299-90ce-995b-77a7b6010924,chatcmpl-4a7a53f1-e299-90ce-995b-77a7b6010924,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, ocean, silence, ladder, justice, cloud, spoon, forest, anger, clock",ok,10,apple,ocean,silence,ladder,justice,cloud,spoon,forest,anger,clock,,git:3b69735
,Qwen3-235B-Instruct,qwen3-235b-a22b-instruct-2507,qwen3-235b-a22b-instruct-2507,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n50_run2,Eastern,No,2025,1.0,1.0,0-2,1000,2026-07-15T03:58:52.516Z,2026-07-15T03:58:54.510Z,1994,0d9cce9b-5aac-92f6-b0e7-75b33d977ff6,chatcmpl-0d9cce9b-5aac-92f6-b0e7-75b33d977ff6,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, ocean, laughter, rock, dream, storm, bread, shadow, melody, mountain",ok,10,chair,ocean,laughter,rock,dream,storm,bread,shadow,melody,mountain,,git:3b69735
,Qwen-Plus,qwen-plus,qwen-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n50_run2,Eastern,No,2025,1.0,1.0,0-2,1001,2026-07-15T03:58:53.552Z,2026-07-15T03:58:55.691Z,2138,2af583df-e935-96b8-a4b8-fc6da2d7f132,chatcmpl-2af583df-e935-96b8-a4b8-fc6da2d7f132,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, silence, mountain, justice, spoon, galaxy, laughter, fog, hammer, democracy",ok,10,apple,silence,mountain,justice,spoon,galaxy,laughter,fog,hammer,democracy,,git:3b69735
,Qwen3-235B-Instruct,qwen3-235b-a22b-instruct-2507,qwen3-235b-a22b-instruct-2507,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n50_run2,Eastern,No,2025,1.0,1.0,0-2,1001,2026-07-15T03:58:54.510Z,2026-07-15T03:58:56.777Z,2266,6d99ac4a-33db-9cf9-8218-1c9826c1dd8f,chatcmpl-6d99ac4a-33db-9cf9-8218-1c9826c1dd8f,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, laughter, river, chair, storm, idea, bread, shadow, clock",ok,10,apple,mountain,laughter,river,chair,storm,idea,bread,shadow,clock,,git:3b69735
,Qwen-Plus,qwen-plus,qwen-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n50_run2,Eastern,No,2025,1.0,1.0,0-2,1002,2026-07-15T03:58:55.691Z,2026-07-15T03:58:57.504Z,1812,60f4b0c6-b268-9354-a1dd-cc5bda846d8f,chatcmpl-60f4b0c6-b268-9354-a1dd-cc5bda846d8f,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, ocean, silence, ladder, justice, cloud, spoon, forest, laughter, mountain",ok,10,apple,ocean,silence,ladder,justice,cloud,spoon,forest,laughter,mountain,,git:3b69735
,Qwen3-235B-Instruct,qwen3-235b-a22b-instruct-2507,qwen3-235b-a22b-instruct-2507,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n50_run2,Eastern,No,2025,1.0,1.0,0-2,1002,2026-07-15T03:58:56.777Z,2026-07-15T03:58:58.547Z,1770,c88dc72c-ab4f-9508-879a-ed3cecb8c9b7,chatcmpl-c88dc72c-ab4f-9508-879a-ed3cecb8c9b7,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"tree, laughter, river, clock, cloud, book, shadow, fire, melody, stone",ok,10,tree,laughter,river,clock,cloud,book,shadow,fire,melody,stone,,git:3b69735
,Qwen-Plus,qwen-plus,qwen-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n50_run2,Eastern,No,2025,1.0,1.0,0-2,1003,2026-07-15T03:58:57.504Z,2026-07-15T03:58:59.938Z,2434,c9e369ab-9b0b-97cf-9e19-5defa47109e8,chatcmpl-c9e369ab-9b0b-97cf-9e19-5defa47109e8,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, ocean, laughter, diamond, thunder, silence, apple, galaxy, anger, feather",ok,10,chair,ocean,laughter,diamond,thunder,silence,apple,galaxy,anger,feather,,git:3b69735
,Qwen3-235B-Instruct,qwen3-235b-a22b-instruct-2507,qwen3-235b-a22b-instruct-2507,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n50_run2,Eastern,No,2025,1.0,1.0,0-2,1003,2026-07-15T03:58:58.548Z,2026-07-15T03:59:00.889Z,2341,f32b5893-7660-94d2-8e0f-5223c03b5708,chatcmpl-f32b5893-7660-94d2-8e0f-5223c03b5708,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"tree, ocean, laughter, rock, idea, wind, chair, darkness, flower, music",ok,10,tree,ocean,laughter,rock,idea,wind,chair,darkness,flower,music,,git:3b69735
,Qwen-Plus,qwen-plus,qwen-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n50_run2,Eastern,No,2025,1.0,1.0,0-2,1004,2026-07-15T03:58:59.938Z,2026-07-15T03:59:01.338Z,1399,4c30af75-cdf6-9696-a283-b27c1c6a873c,chatcmpl-4c30af75-cdf6-9696-a283-b27c1c6a873c,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sky, spoon, justice, fog, guitar, silence, ocean, brick, laughter, mountain",ok,10,sky,spoon,justice,fog,guitar,silence,ocean,brick,laughter,mountain,,git:3b69735
,Qwen3-235B-Instruct,qwen3-235b-a22b-instruct-2507,qwen3-235b-a22b-instruct-2507,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n50_run2,Eastern,No,2025,1.0,1.0,0-2,1004,2026-07-15T03:59:00.890Z,2026-07-15T03:59:02.468Z,1578,abecc722-549e-9a8e-9ea8-45eb6d5c843b,chatcmpl-abecc722-549e-9a8e-9ea8-45eb6d5c843b,,stop,148,19,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, water, dream, mountain, laughter, hammer, silence, flower, storm, cheese",ok,10,chair,water,dream,mountain,laughter,hammer,silence,flower,storm,cheese,,git:3b69735
