record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n50_run2,Western,No,2026,1.0,1.0,0-2,,2026-07-15T03:58:53.015Z,2026-07-15T03:58:53.611Z,595,ace928b9-1da8-99da-b8fc-02dc7183cdfb,ace928b9-1da8-99da-b8fc-02dc7183cdfb,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, freedom, mountain, laughter, bicycle, silence, river, shadow, melody, galaxy",ok,10,apple,freedom,mountain,laughter,bicycle,silence,river,shadow,melody,galaxy,,git:3b69735
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n50_run2,Western,No,2026,1.0,1.0,0-2,,2026-07-15T03:58:53.612Z,2026-07-15T03:58:58.968Z,5356,16956542-f99b-9763-8df2-29b7bf080670,16956542-f99b-9763-8df2-29b7bf080670,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, whisper, mountain, laughter, river, shadow, apple, silence, wheel, memory",ok,10,cloud,whisper,mountain,laughter,river,shadow,apple,silence,wheel,memory,,git:3b69735
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n50_run2,Western,No,2026,1.0,1.0,0-2,,2026-07-15T03:58:58.968Z,2026-07-15T03:58:59.432Z,463,a58cbb6a-af02-9176-a784-c037758188e4,a58cbb6a-af02-9176-a784-c037758188e4,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"love, table, storm, freedom, apple, laughter, mountain, silence, river, dream",ok,10,love,table,storm,freedom,apple,laughter,mountain,silence,river,dream,,git:3b69735
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n50_run2,Western,No,2026,1.0,1.0,0-2,,2026-07-15T03:58:59.468Z,2026-07-15T03:59:00.182Z,713,e0da87aa-6191-9424-b7d6-06a44c4fcc22,e0da87aa-6191-9424-b7d6-06a44c4fcc22,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, freedom, mountain, laughter, ocean, silence, bicycle, justice, cloud, melody",ok,10,apple,freedom,mountain,laughter,ocean,silence,bicycle,justice,cloud,melody,,git:3b69735
,Grok-4.5,grok-4.5,grok-4.5,xai,https://api.x.ai/v1,collect_2026_n50_run2,Western,Yes,2026,1.0,1.0,0-2,,2026-07-15T03:58:52.515Z,2026-07-15T03:59:00.512Z,7997,89241baa-a412-9628-82f3-49343c432382,89241baa-a412-9628-82f3-49343c432382,fp_a39489019fa99b6e,stop,347,19,1396,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, tiger, freedom, hammer, happiness, mountain, book, music, chair, justice",ok,10,apple,tiger,freedom,hammer,happiness,mountain,book,music,chair,justice,,git:3b69735
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n50_run2,Western,No,2026,1.0,1.0,0-2,,2026-07-15T03:59:00.182Z,2026-07-15T03:59:00.691Z,508,e28e8d19-d6b9-9e02-aaff-77db4aba7645,e28e8d19-d6b9-9e02-aaff-77db4aba7645,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, laughter, mountain, freedom, apple, silence, river, courage, cloud, bicycle",ok,10,chair,laughter,mountain,freedom,apple,silence,river,courage,cloud,bicycle,,git:3b69735
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n50_run2,Western,No,2026,1.0,1.0,0-2,,2026-07-15T03:59:01.183Z,2026-07-15T03:59:01.721Z,537,1a434ddd-2073-9882-a719-ad0c187df4cc,1a434ddd-2073-9882-a719-ad0c187df4cc,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, freedom, mountain, laughter, ocean, silence, bicycle, hunger, melody, shadow",ok,10,apple,freedom,mountain,laughter,ocean,silence,bicycle,hunger,melody,shadow,,git:3b69735
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n50_run2,Western,No,2026,1.0,1.0,0-2,,2026-07-15T03:59:01.721Z,2026-07-15T03:59:02.679Z,958,17548994-5de7-9953-ab89-d7088201bc24,17548994-5de7-9953-ab89-d7088201bc24,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, freedom, mountain, laughter, ocean, justice, bicycle, silence, rainbow, whisper",ok,10,apple,freedom,mountain,laughter,ocean,justice,bicycle,silence,rainbow,whisper,,git:3b69735
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n50_run2,Western,No,2026,1.0,1.0,0-2,,2026-07-15T03:59:02.679Z,2026-07-15T03:59:03.195Z,515,,8c9a0999-0c2b-9073-8194-cc92ff087ec8,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"idea, mountain, laughter, river, silence, apple, freedom, shadow, melody, storm",ok,10,idea,mountain,laughter,river,silence,apple,freedom,shadow,melody,storm,,git:3b69735
,Grok-4.20-nonreason,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,xai,https://api.x.ai/v1,collect_2026_n50_run2,Western,No,2026,1.0,1.0,0-2,,2026-07-15T03:59:03.195Z,2026-07-15T03:59:03.794Z,598,982c1d0e-944a-9a05-b26e-1b4e5ea2b7b3,982c1d0e-944a-9a05-b26e-1b4e5ea2b7b3,fp_10fa260003,stop,321,19,340,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, freedom, mountain, laughter, river, silence, candle, justice, shadow, bicycle",ok,10,apple,freedom,mountain,laughter,river,silence,candle,justice,shadow,bicycle,,git:3b69735
